num_personas_hogar,area_vivienda_m2,num_electrodomesticos,horas_uso_ac,estrato_social,mes,consumo_kwh,nivel_consumo
6,287.7,6,,C,Octubre,394.8,alto
4,142.1,14,0.9,C,Abril,236.9,normal
5,152.4,14,1.5,B,Diciembre,332.8,alto
7,268.7,4,10.7,C,Febrero,440.9,alto
5,267.1,10,11.6,C,Noviembre,494.0,alto
1,210.0,9,3.8,D,Julio,255.6,normal
7,180.6,11,1.5,C,Enero,344.8,alto
1,89.3,4,3.1,B,Diciembre,177.0,normal
2,212.8,4,0.2,D,Noviembre,166.6,normal
3,224.8,13,,C,Mayo,273.9,normal
6,153.2,2,1.7,D,Junio,3124.7492552173303,normal
7,,5,10.7,C,Marzo,465.3,alto
1,159.7,10,8.3,C,Noviembre,318.6,alto
4,141.5,8,0.8,C,Mayo,260.5,normal
2,96.4,2,3.0,B,Septiembre,149.6,normal
2,184.5,11,8.1,B,Febrero,381.2,alto
1,292.3,7,7.4,A,Enero,324.5,alto
2,185.6,10,8.1,C,Marzo,335.1,alto
7,236.1,9,3.2,A,Abril,397.5,alto
3,36.0,4,2.1,c,Abril,172.5,normal
6,175.8,7,3.3,B,Agosto,356.7,alto
2,63.8,12,8.1,D,Mayo,286.3,normal
1,71.0,3,9.6,C,Diciembre,252.5,normal
6,128.8,5,7.3,C,Marzo,370.2,alto
1,203.1,12,11.7,D,Noviembre,384.6,alto
1,232.7,12,6.0,b,Junio,327.8,alto
2,232.8,11,0.4,D,Marzo,232.6,normal
7,197.2,11,,C,Abril,315.8,alto
3,157.5,4,8.9,B,Octubre,294.8,normal
2,256.4,12,1.9,C,Diciembre,308.3,alto
4,147.7,2,2.7,A,Octubre,260.7,normal
6,190.2,2,2.6,C,Julio,257.8,normal
6,65.7,3,2.1,B,Febrero,255.1,normal
4,194.6,10,6.9,C,Junio,381.1,alto
3,100.4,5,8.2,C,Noviembre,307.3,alto
7,127.9,14,2.0,D,Junio,341.2,alto
6,99.0,4,9.6,C,Abril,355.3,alto
1,121.3,10,7.8,C,Noviembre,282.9,normal
5,66.7,8,,B,Febrero,283.1,normal
4,37.0,4,11.4,C,Mayo,294.7,normal
3,206.0,12,,D,Mayo,312.7,alto
4,252.8,2,3.5,C,Septiembre,275.6,normal
5,260.3,2,2.4,B,Abril,262.9,normal
4,30.2,4,0.4,D,Julio,155.2,normal
5,285.3,11,11.1,A,Abril,514.0,alto
7,286.9,10,6.8,C,Enero,448.9,alto
6,92.0,9,1.3,D,Mayo,254.7,normal
5,256.7,8,,C,Julio,406.0,alto
3,272.8,12,8.2,D,Marzo,370.5,alto
3,,3,10.1,C,Abril,385.8,alto
7,77.9,3,5.3,D,Mayo,309.7,alto
1,45.5,11,8.2,B,Junio,278.0,normal
1,,14,1.0,C,Agosto,282.4,normal
6,157.0,5,7.7,B,Mayo,353.3,alto
2,215.6,7,,C,Diciembre,232.5,normal
5,90.7,9,10.7,C,Mayo,379.7,alto
3,81.4,8,1.3,D,Marzo,162.9,normal
3,270.5,14,2.3,A,Noviembre,384.1,alto
5,,3,10.9,C,Enero,387.7,alto
3,153.4,13,2.6,C,Diciembre,282.3,normal
7,151.1,13,8.1,c,Noviembre,451.6,alto
6,166.4,9,3.3,B,Noviembre,335.2,alto
2,79.2,14,3.1,B,Mayo,236.4,normal
6,171.0,13,2.7,C,Marzo,366.3,alto
2,225.5,3,10.6,C,Septiembre,318.7,alto
3,168.8,6,9.5,A,Noviembre,380.9,alto
7,178.7,8,7.4,D,Noviembre,390.6,alto
2,283.2,5,,D,Marzo,209.5,normal
6,41.8,9,3.7,C,Septiembre,2697.1154696772583,normal
1,285.3,12,2.1,A,Abril,299.8,normal
2,263.3,8,8.9,D,Julio,410.7,alto
3,167.1,2,,B,Julio,236.2,normal
3,156.9,4,11.8,D,Diciembre,370.0,alto
1,178.7,10,0.0,D,Enero,184.7,normal
2,184.4,10,1.0,B,Abril,207.7,normal
7,66.9,11,11.3,B,Enero,428.0,alto
1,165.7,4,0.6,C,Marzo,160.9,normal
7,174.4,11,0.6,C,Mayo,336.8,alto
3,,13,4.2,C,Febrero,335.7,alto
3,277.9,13,5.4,C,Julio,377.6,alto
6,137.1,6,10.1,D,Octubre,444.4,alto
7,128.7,10,5.9,D,Noviembre,386.7,alto
7,240.6,3,4.9,D,Junio,316.9,alto
1,84.6,6,,B,Noviembre,245.8,normal
3,80.5,3,3.9,B,Agosto,203.1,normal
4,91.7,11,0.0,B,Agosto,3442.382345309726,normal
5,117.8,2,10.5,D,Junio,330.0,alto
2,170.0,7,3.9,C,Febrero,247.2,normal
7,248.1,7,3.5,C,Abril,343.7,alto
5,214.3,10,8.6,B,Agosto,446.2,alto
6,32.6,12,1.5,A,Diciembre,300.5,alto
2,146.8,3,11.0,D,Mayo,272.4,normal
2,150.6,10,3.5,C,Abril,265.4,normal
5,126.4,9,,D,Abril,239.1,normal
2,158.9,14,8.3,C,Julio,344.6,alto
3,78.6,2,0.6,A,Octubre,136.8,normal
4,297.0,4,8.8,C,Enero,4397.675326812053,alto
5,217.6,6,10.7,A,Febrero,428.4,alto
6,99.2,4,6.0,C,Octubre,286.2,normal
6,178.3,14,1.9,A,Noviembre,345.9,alto
4,267.6,3,10.3,D,Octubre,385.3,alto
1,267.5,14,3.2,C,Enero,270.9,normal
1,239.7,6,6.4,D,Octubre,300.4,alto
5,178.3,3,8.9,A,Septiembre,381.1,alto
5,189.0,5,1.2,D,Mayo,269.7,normal
6,151.9,2,6.2,B,Diciembre,315.6,alto
1,185.8,12,,D,Diciembre,273.6,normal
6,64.6,3,,D,Enero,273.6,normal
2,44.3,6,9.4,B,Agosto,301.9,alto
3,165.3,2,5.8,C,Junio,288.9,normal
5,170.6,10,0.6,D,Diciembre,274.5,normal
5,72.2,10,7.1,A,Diciembre,346.2,alto
3,175.1,9,7.0,B,Enero,367.1,alto
4,72.3,14,,D,Febrero,345.3,alto
3,184.8,7,6.8,D,Abril,302.7,alto
2,119.5,12,2.5,C,Noviembre,243.2,normal
4,46.6,6,5.2,C,Mayo,249.8,normal
2,270.9,10,11.1,C,Septiembre,435.3,alto
6,184.0,11,,C,Septiembre,326.4,alto
3,121.6,9,8.0,B,Octubre,309.9,alto
6,53.9,12,7.8,D,Septiembre,326.7,alto
4,127.9,2,4.9,D,Marzo,307.7,alto
1,158.8,7,8.1,D,Abril,285.5,normal
6,83.0,5,6.3,D,Noviembre,310.3,alto
1,164.8,13,0.1,B,Marzo,229.8,normal
2,,9,3.9,C,Octubre,301.5,alto
2,182.6,3,5.4,D,Junio,229.6,normal
2,86.5,11,12.0,C,Agosto,379.3,alto
1,,3,,C,Enero,195.5,normal
4,234.2,11,2.6,c,Mayo,290.1,normal
5,199.3,6,1.9,B,Mayo,264.4,normal
3,199.0,14,,A,Mayo,460.9,alto
2,106.3,7,10.8,D,Diciembre,299.5,normal
3,183.6,3,,A,Octubre,301.1,alto
3,277.5,5,,C,Agosto,299.4,normal
4,258.0,6,11.6,D,Octubre,431.0,alto
5,59.4,14,5.5,c,Enero,335.6,alto
3,298.3,10,11.9,C,Julio,500.9,alto
7,268.6,8,5.7,c,Marzo,405.8,alto
3,,3,2.7,D,Enero,170.3,normal
5,,10,11.8,C,Septiembre,397.3,alto
3,88.4,7,11.8,B,Marzo,338.6,alto
4,115.2,9,,D,Marzo,355.3,alto
5,282.0,8,,A,Febrero,418.9,alto
2,255.0,13,,C,Agosto,326.9,alto
5,296.9,2,5.1,B,Octubre,360.6,alto
7,144.5,8,5.1,C,Mayo,341.0,alto
6,74.1,3,0.5,C,Septiembre,182.1,normal
1,142.0,4,2.7,C,Septiembre,183.4,normal
5,296.1,10,3.0,c,Febrero,365.5,alto
3,281.3,4,7.0,D,Diciembre,337.7,alto
7,125.9,4,10.6,C,Diciembre,433.7,alto
2,,11,5.9,D,Octubre,261.0,normal
4,241.6,6,11.0,D,Agosto,3099.7612464562512,alto
3,250.4,2,4.0,B,Mayo,242.2,normal
5,261.8,13,0.6,B,Febrero,362.0,alto
7,,5,3.3,A,Julio,318.3,alto
1,168.1,12,1.9,B,Febrero,272.6,normal
1,78.1,11,5.6,D,Mayo,226.3,normal
1,102.9,10,5.9,B,Marzo,250.9,normal
4,141.1,9,1.3,D,Noviembre,265.8,normal
3,44.8,11,7.7,B,Noviembre,315.8,alto
3,238.8,11,7.2,C,Noviembre,372.0,alto
4,275.4,7,8.5,A,Abril,422.1,alto
6,169.5,14,4.1,C,Septiembre,369.1,alto
1,162.2,14,3.6,D,Mayo,281.3,normal
4,189.9,6,,D,Enero,394.7,alto
4,296.0,12,3.1,B,Julio,378.1,alto
1,215.1,14,5.7,D,Marzo,358.0,alto
2,221.1,3,4.7,D,Febrero,249.3,normal
3,149.0,4,7.6,B,Enero,262.4,normal
1,227.9,10,11.6,D,Septiembre,365.8,alto
5,288.3,3,10.0,C,Marzo,427.2,alto
3,267.9,4,9.4,C,Noviembre,358.6,alto
6,138.0,6,8.3,D,Mayo,370.8,alto
3,175.9,3,8.3,D,Agosto,271.2,normal
1,195.8,4,1.2,C,Diciembre,183.6,normal
5,,8,7.1,B,Julio,399.3,alto
7,106.1,5,7.5,A,Febrero,371.8,alto
3,235.4,3,0.9,C,Octubre,198.2,normal
7,264.7,14,9.5,A,Mayo,539.2,alto
4,229.6,9,,D,Junio,320.1,alto
7,81.9,10,,C,Julio,303.5,alto
1,199.4,5,3.5,D,Enero,209.2,normal
4,34.3,13,5.4,D,Octubre,307.0,alto
6,,3,4.8,C,Marzo,265.8,normal
5,259.5,4,3.8,B,Julio,341.9,alto
1,68.7,9,12.0,B,Junio,359.8,alto
5,51.1,5,10.8,B,Septiembre,328.7,alto
2,,2,2.0,C,Mayo,163.8,normal
3,245.9,13,3.1,D,Octubre,337.3,alto
5,,13,7.4,c,Noviembre,419.7,alto
3,,12,1.0,B,Enero,213.8,normal
2,194.6,10,7.2,A,Octubre,346.1,alto
5,158.9,2,8.4,C,Mayo,359.6,alto
6,162.6,4,5.7,C,Octubre,305.1,alto
7,169.3,11,11.3,A,Marzo,496.5,alto
7,119.4,4,11.3,C,Junio,417.9,alto
5,123.5,5,10.0,B,Septiembre,385.6,alto
1,32.1,9,0.2,A,Septiembre,152.7,normal
4,52.6,5,9.1,D,Septiembre,313.1,alto
4,118.3,12,4.7,D,Marzo,344.7,alto
1,291.1,14,5.7,A,Abril,352.1,alto
5,,13,10.8,C,Noviembre,440.2,alto
4,197.6,9,4.9,C,Enero,334.3,alto
1,,13,0.9,B,Agosto,239.5,normal
5,171.5,13,2.4,D,Agosto,310.4,alto
2,121.8,14,,c,Octubre,278.2,normal
2,96.0,9,8.3,C,Junio,311.9,alto
4,257.7,10,0.4,C,Marzo,290.2,normal
1,281.6,10,3.1,B,Abril,315.3,alto
2,62.9,6,1.9,C,Julio,115.4,normal
4,,6,9.9,B,Febrero,383.0,alto
6,86.9,12,0.9,A,Octubre,311.7,alto
2,,8,5.4,D,Abril,243.8,normal
3,261.6,6,11.4,D,Septiembre,419.8,alto
5,,9,2.8,D,Marzo,303.0,alto
7,226.9,3,0.1,D,Marzo,242.8,normal
1,170.1,8,11.3,A,Febrero,359.2,alto
1,,2,,B,Febrero,179.7,normal
1,132.2,13,1.7,D,Octubre,226.7,normal
7,241.4,10,,B,Febrero,396.9,alto
5,,7,4.0,B,Octubre,282.2,normal
3,49.4,11,9.9,B,Noviembre,358.5,alto
5,52.8,8,4.8,B,Noviembre,284.9,normal
3,145.4,3,5.7,C,Junio,206.2,normal
1,113.0,3,5.9,D,Febrero,185.3,normal
6,72.0,9,5.5,B,Noviembre,357.8,alto
5,213.8,6,0.6,C,Septiembre,288.7,normal
7,293.3,10,2.2,B,Abril,387.4,alto
1,,14,,C,Marzo,320.5,alto
4,192.7,8,7.0,C,Junio,343.4,alto
5,217.4,14,0.2,B,Octubre,324.0,alto
5,34.0,6,6.3,D,Mayo,245.1,normal
3,132.5,9,8.6,B,Octubre,348.3,alto
7,88.1,8,4.1,D,Febrero,284.9,normal
1,89.6,9,10.7,B,Diciembre,295.9,normal
1,243.1,10,5.1,D,Septiembre,279.6,normal
4,141.2,4,5.9,A,Mayo,328.4,alto
4,286.0,9,11.9,C,Septiembre,438.9,alto
7,295.1,8,4.7,D,Abril,415.5,alto
2,172.6,14,9.0,D,Julio,351.1,alto
5,257.7,14,12.0,C,Enero,511.0,alto
4,144.0,2,3.2,C,Septiembre,227.3,normal
4,,6,8.0,C,Enero,383.3,alto
1,259.9,13,11.1,B,Junio,496.1,alto
4,258.8,7,1.8,C,Marzo,310.7,alto
7,,8,11.3,D,Abril,434.9,alto
6,150.0,13,9.6,D,Marzo,430.3,alto
2,129.1,8,7.2,C,Septiembre,308.8,alto
3,67.2,8,6.0,B,Enero,256.1,normal
4,262.1,5,4.5,C,Junio,305.0,alto
6,175.1,9,11.9,B,Diciembre,458.7,alto
2,135.0,13,7.1,B,Junio,358.1,alto
4,179.8,14,2.4,C,Junio,332.5,alto
6,235.1,7,7.0,C,Diciembre,355.2,alto
6,220.0,5,3.3,C,Junio,343.3,alto
4,146.7,7,7.8,D,Febrero,365.8,alto
3,260.1,7,7.8,B,Septiembre,394.0,alto
2,227.6,11,4.0,B,Octubre,309.4,alto
6,158.0,14,9.4,C,Abril,452.6,alto
1,231.6,5,1.9,D,Marzo,195.2,normal
1,83.0,13,3.8,B,Noviembre,289.1,normal
3,182.9,11,8.6,C,Abril,349.8,alto
1,117.7,6,6.6,B,Septiembre,288.2,normal
4,200.9,9,0.4,D,Febrero,216.2,normal
3,,10,1.6,C,Septiembre,274.5,normal
3,115.2,3,4.7,C,Abril,217.3,normal
4,82.2,14,7.6,D,Enero,319.0,alto
3,120.1,3,8.5,A,Julio,281.4,normal
3,,13,8.5,D,Octubre,405.1,alto
1,171.1,11,6.3,A,Diciembre,330.5,alto
1,56.0,7,10.2,A,Julio,280.4,normal
6,162.1,9,10.1,B,Febrero,414.3,alto
2,213.7,13,1.6,A,Julio,279.3,normal
5,224.5,5,4.0,D,Octubre,319.6,alto
5,271.6,13,4.8,A,Junio,421.6,alto
6,228.8,5,7.8,B,Enero,400.9,alto
7,213.0,2,4.3,B,Septiembre,285.4,normal
7,196.1,2,5.5,B,Marzo,345.8,alto
7,65.1,5,5.2,B,Abril,307.3,alto
5,173.9,14,2.1,C,Octubre,329.1,alto
4,,10,10.0,C,Septiembre,415.9,alto
6,194.2,4,2.2,D,Mayo,260.3,normal
7,109.6,10,6.6,C,Junio,375.4,alto
4,153.6,10,5.4,B,Enero,326.5,alto
2,62.3,13,6.5,C,Noviembre,231.0,normal
3,174.5,2,2.8,D,Febrero,244.5,normal
1,275.2,3,4.4,C,Enero,250.9,normal
4,50.5,3,4.9,C,Noviembre,188.1,normal
5,193.1,4,9.3,C,Octubre,387.6,alto
3,260.2,11,,C,Enero,330.8,alto
3,92.6,14,7.9,B,Mayo,363.8,alto
4,,11,8.7,C,Julio,408.2,alto
4,252.7,11,3.4,C,Julio,299.1,normal
4,74.6,8,4.2,A,Marzo,276.8,normal
2,238.9,6,3.8,A,Agosto,269.7,normal
4,205.9,13,7.6,C,Febrero,410.8,alto
7,290.2,3,2.0,C,Febrero,310.4,alto
3,222.6,6,11.4,A,Abril,413.1,alto
4,,14,4.1,C,Enero,319.6,alto
4,187.3,14,0.4,C,Marzo,313.3,alto
3,111.2,5,2.3,C,Julio,176.6,normal
2,79.9,9,2.9,C,Junio,212.6,normal
7,,13,2.6,C,Febrero,363.1,alto
6,99.3,3,10.8,C,Abril,348.9,alto
7,173.2,8,8.0,C,Febrero,407.8,alto
4,40.3,7,3.3,C,Junio,254.2,normal
4,110.6,11,1.7,C,Diciembre,253.5,normal
3,247.2,2,0.3,C,Diciembre,170.5,normal
6,55.8,8,9.0,C,Agosto,358.2,alto
6,135.2,4,8.8,C,Julio,386.1,alto
4,201.5,4,1.4,C,Abril,238.0,normal
2,273.4,14,10.6,C,Noviembre,441.1,alto
3,108.4,10,4.4,B,Septiembre,295.4,normal
1,,3,,C,Noviembre,241.9,normal
2,76.4,3,3.8,C,Mayo,184.6,normal
4,260.1,11,7.2,D,Septiembre,419.8,alto
2,267.0,14,8.7,C,Junio,404.5,alto
6,69.0,6,5.5,A,Octubre,328.2,alto
7,184.1,11,2.2,D,Junio,328.2,alto
7,46.7,10,5.5,C,Mayo,326.8,alto
3,176.1,10,8.5,C,Diciembre,365.8,alto
6,252.2,5,10.1,A,Marzo,459.7,alto
5,95.0,2,6.5,C,Septiembre,250.7,normal
7,197.8,10,10.7,B,Diciembre,502.4,alto
3,282.8,7,9.3,C,Mayo,399.1,alto
1,227.5,3,0.5,C,Mayo,152.1,normal
7,211.6,14,7.6,B,Enero,492.9,alto
1,243.9,2,2.5,C,Mayo,216.8,normal
2,106.3,14,8.8,C,Mayo,301.7,alto
3,39.5,12,6.8,C,Enero,291.1,normal
3,188.0,10,10.0,D,Agosto,429.9,alto
5,179.3,5,11.2,A,Noviembre,443.7,alto
4,140.6,7,4.7,B,Abril,281.5,normal
6,86.5,8,4.0,C,Enero,319.6,alto
2,156.9,3,1.0,C,Julio,192.9,normal
1,249.4,7,1.5,A,Agosto,261.8,normal
5,165.6,14,5.8,B,Octubre,415.8,alto
2,141.8,6,11.2,C,Julio,343.6,alto
5,184.9,8,7.4,C,Septiembre,391.4,alto
6,55.2,11,1.1,C,Septiembre,265.3,normal
4,67.0,9,10.8,B,Febrero,337.8,alto
5,288.4,6,8.0,C,Julio,394.8,alto
2,54.1,8,7.5,C,Octubre,256.3,normal
2,49.8,14,,D,Mayo,184.3,normal
5,149.2,4,9.7,C,Abril,332.2,alto
6,235.8,8,9.9,B,Abril,463.0,alto
6,250.8,10,6.1,D,Julio,391.5,alto
3,240.1,2,4.0,A,Noviembre,272.6,normal
6,251.8,2,,D,Octubre,286.6,normal
2,73.1,10,11.4,A,Noviembre,383.7,alto
5,278.3,14,0.9,D,Septiembre,321.9,alto
7,140.7,10,4.8,C,Septiembre,367.8,alto
1,42.5,5,3.2,C,Enero,160.9,normal
5,276.7,12,0.7,C,Diciembre,342.9,alto
5,180.1,10,10.5,B,Octubre,433.7,alto
4,222.7,13,9.1,D,Mayo,415.1,alto
2,,11,7.0,C,Septiembre,288.2,normal
2,89.9,6,0.1,C,Octubre,163.8,normal
7,152.4,11,1.4,C,Septiembre,335.3,alto
4,73.0,13,3.8,C,Julio,343.4,alto
2,123.2,13,5.8,B,Julio,308.6,alto
3,238.6,14,10.8,A,Febrero,503.7,alto
5,235.9,3,0.4,A,Julio,259.1,normal
5,164.5,11,11.7,A,Mayo,462.7,alto
7,100.2,14,3.3,B,Abril,324.8,alto
6,90.4,8,4.6,D,Septiembre,298.9,normal
2,247.8,2,5.0,D,Septiembre,279.1,normal
3,198.1,13,5.2,A,Enero,352.5,alto
3,119.1,7,0.7,D,Diciembre,230.7,normal
1,235.9,5,7.3,C,Septiembre,283.1,normal
5,186.9,6,2.3,C,Octubre,273.2,normal
6,271.2,11,0.9,C,Junio,399.1,alto
1,,4,10.6,D,Mayo,318.8,alto
5,251.9,4,11.9,A,Febrero,409.2,alto
2,,8,9.3,A,Junio,432.0,alto
7,92.2,7,10.3,B,Marzo,413.0,alto
7,54.5,8,2.5,B,Abril,319.7,alto
2,117.5,11,4.4,C,Diciembre,256.3,normal
5,68.4,9,7.6,C,Febrero,319.1,alto
2,81.9,3,5.5,B,Agosto,216.7,normal
4,274.9,12,1.0,C,Junio,334.8,alto
3,205.1,4,7.4,C,Septiembre,322.1,alto
1,293.0,10,0.1,D,Marzo,252.8,normal
6,,14,11.7,B,Noviembre,525.8,alto
2,299.1,6,9.4,C,Junio,378.4,alto
3,295.3,5,1.8,D,Agosto,273.2,normal
1,152.9,13,4.3,D,Noviembre,252.0,normal
2,162.6,7,10.2,A,Diciembre,387.8,alto
5,,14,2.4,B,Marzo,300.7,alto
5,210.3,6,6.3,D,Septiembre,342.1,alto
4,,14,10.5,C,Noviembre,2819.9371809259546,alto
7,200.6,2,0.9,C,Octubre,276.4,normal
3,33.9,8,5.0,D,Noviembre,258.3,normal
4,,3,11.4,B,Junio,361.2,alto
5,57.7,3,3.7,D,Junio,236.4,normal
3,176.6,5,3.0,C,Julio,244.2,normal
7,70.1,9,,D,Julio,287.9,normal
2,156.2,6,10.6,D,Enero,363.7,alto
3,,5,7.7,D,Septiembre,265.3,normal
3,,10,9.4,B,Septiembre,374.2,alto
4,204.4,6,0.0,A,Marzo,250.5,normal
1,,6,10.2,C,Diciembre,220.6,normal
4,270.8,11,0.9,D,Enero,314.7,alto
4,138.3,12,6.1,D,Septiembre,360.9,alto
2,135.6,4,6.5,B,Mayo,295.0,normal
5,85.1,4,3.8,C,Noviembre,246.5,normal
2,268.5,14,3.0,D,Abril,296.8,normal
4,217.9,13,,C,Junio,434.1,alto
1,236.4,7,1.9,C,Enero,251.0,normal
7,31.4,13,9.4,c,Mayo,429.6,alto
3,263.2,4,7.0,C,Diciembre,318.3,alto
4,113.9,6,2.2,C,Enero,215.6,normal
2,170.5,9,,C,Diciembre,3518.9205190375696,normal
4,62.1,12,1.7,C,Octubre,235.9,normal
3,241.4,9,,C,Diciembre,288.5,normal
5,113.0,2,3.4,D,Enero,248.6,normal
5,96.0,14,1.5,B,Agosto,308.7,alto
7,219.3,9,1.7,C,Agosto,366.9,alto
1,225.8,8,1.5,C,Febrero,236.4,normal
1,279.2,3,5.3,D,Octubre,266.3,normal
5,136.0,11,1.7,B,Diciembre,293.1,normal
2,220.6,5,3.9,C,Febrero,232.2,normal
5,169.8,10,8.1,C,Septiembre,388.7,alto
7,127.6,4,0.3,D,Abril,221.3,normal
3,118.5,7,10.9,B,Octubre,368.5,alto
4,270.4,6,4.9,B,Septiembre,316.2,alto
7,266.8,8,2.1,c,Febrero,352.4,alto
1,123.1,3,6.7,B,Noviembre,204.0,normal
2,,11,5.9,A,Julio,407.1,alto
5,148.0,14,0.2,C,Abril,263.7,normal
3,48.0,10,4.4,B,Noviembre,260.7,normal
5,139.7,4,5.7,C,Abril,312.2,alto
5,132.7,5,9.8,D,Abril,346.7,alto
4,294.2,12,4.1,c,Septiembre,360.5,alto
2,262.1,12,9.1,B,Noviembre,362.5,alto
3,118.0,3,8.4,C,Septiembre,307.2,alto
2,119.6,4,1.7,D,Julio,160.0,normal
2,119.1,10,4.1,D,Septiembre,249.7,normal
6,142.0,11,4.1,D,Julio,344.4,alto
6,41.9,2,11.1,A,Mayo,365.8,alto
5,161.8,12,8.4,C,Junio,428.7,alto
3,299.7,11,6.9,B,Noviembre,416.2,alto
5,142.7,5,,B,Septiembre,398.3,alto
6,154.3,13,8.9,A,Septiembre,439.5,alto
5,295.9,6,10.8,B,Marzo,486.2,alto
5,179.5,7,,C,Febrero,335.6,alto
3,203.0,10,5.4,D,Febrero,315.0,alto
6,254.5,4,4.3,c,Octubre,310.1,alto
1,47.6,2,10.8,B,Mayo,285.5,normal
2,128.6,9,1.5,B,Septiembre,208.5,normal
6,,5,8.5,C,Febrero,361.6,alto
2,49.2,10,3.8,A,Enero,211.7,normal
4,33.9,9,11.2,D,Febrero,3969.587268035569,alto
6,287.7,4,4.3,B,Junio,351.1,alto
2,183.8,5,11.5,C,Agosto,377.6,alto
1,,2,3.2,B,Enero,181.1,normal
6,206.6,10,,C,Febrero,439.2,alto
7,168.1,4,2.8,A,Septiembre,325.0,alto
5,127.2,12,9.6,C,Diciembre,399.8,alto
6,224.9,10,8.7,C,Febrero,388.8,alto
5,85.7,6,1.4,b,Octubre,229.2,normal
1,159.6,4,6.0,B,Marzo,236.0,normal
7,162.7,3,5.6,D,Marzo,321.3,alto
5,114.5,14,5.3,B,Mayo,349.4,alto
2,260.2,2,2.3,D,Octubre,209.3,normal
7,296.3,7,,C,Agosto,483.9,alto
4,196.6,3,5.2,C,Abril,271.4,normal
6,93.7,14,7.6,A,Julio,431.3,alto
2,192.8,6,3.2,C,Diciembre,243.7,normal
2,110.4,14,1.8,B,Diciembre,232.9,normal
5,234.7,11,10.1,B,Febrero,453.5,alto
3,140.7,14,9.8,C,Diciembre,404.1,alto
5,47.7,2,8.7,D,Noviembre,264.7,normal
6,,10,7.3,C,Octubre,427.6,alto
3,223.0,11,7.3,D,Agosto,344.9,alto
2,44.6,4,11.3,C,Agosto,339.2,alto
2,78.8,6,4.2,B,Enero,207.9,normal
6,76.6,7,5.2,D,Julio,294.8,normal
4,90.9,6,8.1,C,Junio,296.3,normal
4,176.5,6,6.1,B,Diciembre,316.5,alto
2,163.7,5,,C,Marzo,284.1,normal
6,116.0,14,11.9,D,Enero,489.0,alto
1,98.5,13,4.2,D,Noviembre,221.2,normal
3,208.7,5,0.8,C,Noviembre,191.4,normal
7,64.8,11,11.7,C,Noviembre,469.8,alto
1,263.6,12,7.1,B,Junio,371.8,alto
3,148.8,4,8.8,B,Mayo,326.4,alto
7,,11,1.3,B,Junio,358.1,alto
1,228.0,2,0.6,D,Diciembre,177.8,normal
1,289.8,9,8.6,C,Octubre,396.0,alto
4,264.9,5,11.0,C,Octubre,3068.282815872511,alto
3,170.6,7,11.4,D,Abril,348.8,alto
5,225.8,14,9.9,D,Junio,443.8,alto
2,90.5,2,,A,Noviembre,130.2,normal
1,,7,5.3,D,Mayo,196.9,normal
4,237.5,14,2.2,C,Enero,323.4,alto
3,46.0,14,7.5,D,Febrero,344.2,alto
2,201.7,4,1.6,C,Septiembre,178.9,normal
3,204.4,6,,C,Enero,341.6,alto
2,144.6,13,9.7,A,Mayo,369.1,alto
2,92.4,4,2.5,C,Agosto,175.3,normal
3,268.4,12,5.7,A,Julio,392.4,alto
2,119.4,14,4.2,C,Agosto,247.3,normal
3,298.1,7,,b,Junio,256.0,normal
4,66.3,6,2.9,B,Septiembre,224.9,normal
1,243.0,9,2.3,C,Julio,2969.90970743008,normal
3,47.6,13,7.1,B,Noviembre,358.1,alto
7,64.6,9,1.2,A,Noviembre,315.6,alto
6,112.9,13,7.7,D,Febrero,395.6,alto
7,117.0,11,4.7,C,Enero,360.3,alto
7,,6,9.6,D,Diciembre,379.5,alto
1,272.1,9,2.3,C,Enero,290.7,normal
2,,10,5.0,B,Noviembre,304.5,alto
5,170.0,14,,C,Octubre,403.9,alto
4,74.3,5,11.2,C,Julio,332.2,alto
2,256.3,6,10.1,C,Febrero,368.5,alto
7,156.5,2,,B,Febrero,463.4,alto
5,118.2,5,9.3,D,Julio,306.5,alto
2,264.6,4,7.9,B,Septiembre,305.3,alto
6,229.3,8,6.6,C,Marzo,373.8,alto
5,41.3,14,,C,Noviembre,300.7,alto
6,180.9,4,1.9,A,Noviembre,301.9,alto
4,295.7,6,3.1,D,Septiembre,326.2,alto
5,273.7,12,2.8,C,Enero,380.0,alto
5,172.1,9,,C,Marzo,427.2,alto
7,145.5,4,,C,Enero,250.5,normal
3,181.0,2,1.1,C,Mayo,237.8,normal
7,183.5,7,5.1,B,Septiembre,343.1,alto
4,,11,6.2,D,Junio,370.0,alto
1,241.2,5,1.5,B,Septiembre,226.6,normal
7,275.9,7,7.0,C,Mayo,432.9,alto
5,50.4,12,3.8,B,Diciembre,307.1,alto
6,204.6,5,9.9,C,Junio,395.8,alto
7,125.9,5,1.7,D,Septiembre,238.7,normal
2,286.3,9,0.3,C,Enero,274.6,normal
3,103.4,10,6.4,C,Mayo,283.0,normal
3,30.3,7,0.4,B,Octubre,190.2,normal
3,127.6,9,10.9,D,Abril,351.6,alto
4,62.1,3,12.0,C,Mayo,297.5,normal
2,194.8,3,1.1,A,Junio,189.0,normal
3,296.2,5,9.0,C,Septiembre,366.9,alto
3,104.1,8,5.5,C,Abril,268.7,normal
5,151.4,13,10.3,A,Septiembre,456.0,alto
4,140.1,14,,C,Mayo,317.7,alto
