categoria_producto,precio_unitario,unidades_stock,inversion_publicidad,descuento_pct,mes,ventas_mes,rotacion
Ropa,1759.12,69,4159.31,8.0,Febrero,13416.38,alta
Alimentos,194.1,364,4268.69,30.6,Abril,7137.54,alta
Tecnologia,336.55,11,29.59,24.6,Abril,8251.27,alta
Tecnologia,,261,3797.81,8.3,Junio,35348.73,alta
TECNOLOGIA,750.41,314,1242.54,46.8,Abril,17717.06,alta
Deportes,696.11,377,3981.09,16.2,Marzo,19081.07,alta
Deportes,523.39,204,1786.76,1.8,Febrero,15545.75,alta
Deportes,559.23,350,2140.79,15.8,Enero,17675.28,alta
Ropa,,164,4056.59,44.5,Octubre,5462.44,alta
Ropa,160.63,185,3144.53,11.5,Febrero,7014.95,alta
Ropa,,159,1209.99,26.6,Agosto,20235.21,alta
Hogar,1207.31,64,3007.04,26.5,Octubre,35275.22,alta
Ropa,,354,4531.47,3.5,Abril,6720.86,alta
Deportes,407.22,394,4381.41,41.6,Julio,12905.94,alta
Deportes,765.96,81,3732.99,4.8,Septiembre,21051.05,alta
Deportes,1599.92,210,522.77,32.9,Agosto,25209.5,alta
Tecnologia,1472.88,274,2301.93,38.6,Diciembre,11739.99,alta
Hogar,69.54,205,1224.5,41.4,Febrero,2912.26,media
Deportes,553.82,451,928.91,17.0,Octubre,16394.13,alta
Tecnologia,,126,2781.55,37.2,Julio,2377.28,media
Hogar,619.43,298,735.16,43.3,Enero,12800.62,alta
Hogar,1621.29,257,4846.75,49.8,Abril,44531.67,alta
Ropa,1900.06,275,3515.08,23.5,Agosto,28449.92,alta
hogar,1369.31,263,1161.45,7.8,Mayo,25287.58,alta
Hogar,1154.39,145,2878.15,42.3,Julio,8291.1,alta
Ropa,1989.41,150,4410.93,17.4,Octubre,49576.59,alta
Ropa,136.44,283,1552.33,33.8,Marzo,3893.33,media
Alimentos,1298.05,238,,26.0,Abril,19303.07,alta
Tecnologia,160.52,92,1773.84,27.0,Septiembre,3432.02,media
Hogar,789.04,75,2631.66,25.8,Junio,18533.98,alta
Alimentos,1809.64,430,901.1,48.5,Agosto,19675.1,alta
Hogar,468.0,100,3324.17,37.5,Diciembre,15791.03,alta
Hogar,1115.62,234,835.52,10.0,Julio,15105.57,alta
Deportes,1493.26,401,2499.55,38.0,Diciembre,45105.57,alta
Deportes,966.9,273,,22.6,Septiembre,28257.56,alta
Ropa,1281.92,44,4415.81,2.9,Septiembre,22108.37,alta
Ropa,669.2,205,,30.1,Junio,7825.57,alta
Tecnologia,801.11,346,3360.92,34.5,Julio,23717.49,alta
Alimentos,1383.46,152,4733.99,32.1,Mayo,19064.05,alta
Deportes,1043.65,122,3681.19,24.7,Octubre,31881.76,alta
Alimentos,282.45,309,2142.71,1.4,Octubre,9997.97,alta
Deportes,244.81,7,1623.1,6.1,Julio,3773.39,media
Alimentos,1756.58,284,3162.5,7.8,Abril,54820.86,alta
Alimentos,1974.46,181,4865.79,22.9,Octubre,41017.01,alta
Ropa,1584.49,146,3273.25,46.5,Octubre,49367.14,alta
Alimentos,,141,3256.22,18.7,Diciembre,24214.38,alta
Ropa,45.14,47,2080.52,27.7,Abril,1804.11,media
Alimentos,,365,694.84,5.7,Abril,4196.97,media
Hogar,209.25,206,696.42,1.9,Julio,6633.59,alta
Deportes,35.51,491,2355.61,41.1,Junio,3034.32,media
Tecnologia,779.36,87,3508.45,26.9,Julio,18182.2,alta
Deportes,286.44,232,139.52,38.9,Mayo,7953.82,alta
Tecnologia,1946.77,109,1467.04,38.7,Septiembre,52698.46,alta
Deportes,684.19,404,587.49,37.9,Agosto,16177.45,alta
Tecnologia,247.18,24,2628.89,49.3,Octubre,8500.71,alta
Tecnologia,82.35,295,3437.89,0.6,Mayo,4996.92,media
Alimentos,703.7,267,594.77,35.2,Mayo,16979.59,alta
Hogar,679.34,459,661.32,16.5,Agosto,3613.45,media
Alimentos,160.26,23,2963.64,0.2,Mayo,3489.05,media
Tecnologia,384.45,289,166.61,2.8,Abril,10853.92,alta
Alimentos,838.53,284,3834.51,35.9,Junio,24207.96,alta
Deportes,426.58,153,4006.33,21.8,Diciembre,14915.23,alta
Ropa,,11,952.65,14.7,Julio,2357.12,media
Hogar,746.7,323,2068.93,44.2,Junio,9808.58,alta
Ropa,474.81,394,3735.59,27.9,Enero,10791.9,alta
Ropa,766.63,314,2692.75,15.7,Mayo,25047.57,alta
Hogar,1881.67,152,1373.92,21.9,Abril,148988.5862402208,alta
Deportes,1154.13,490,3826.07,25.3,Febrero,30836.21,alta
Deportes,1703.66,316,4040.9,31.0,Diciembre,22631.47,alta
Ropa,1092.63,152,4752.88,49.3,Marzo,29675.13,alta
Ropa,32.95,455,952.65,38.0,Julio,1723.27,media
Tecnologia,,327,20.71,36.8,Septiembre,9672.28,alta
Alimentos,176.95,84,4298.72,43.2,Septiembre,4141.2,media
Hogar,1035.43,147,4824.47,30.7,Septiembre,6589.49,alta
Tecnologia,1318.4,301,1061.83,32.1,Julio,24523.56,alta
Hogar,,124,4500.14,31.7,Enero,13232.44,alta
Ropa,1578.97,19,46.38,36.0,Febrero,16485.81,alta
Ropa,1781.6,434,3809.92,4.6,Noviembre,46926.7,alta
Tecnologia,548.16,424,,26.3,Septiembre,8015.0,alta
Ropa,477.56,422,2115.46,23.2,Abril,3712.65,media
Alimentos,858.61,356,2854.32,23.4,Marzo,24034.75,alta
Ropa,1387.46,339,4295.88,21.0,Junio,26528.44,alta
Ropa,504.77,227,1153.23,1.2,Marzo,14356.77,alta
Deportes,1721.21,430,2317.52,25.4,Octubre,53273.47,alta
Tecnologia,1815.07,272,,32.6,Julio,45017.33,alta
Hogar,403.55,97,2478.26,9.1,Marzo,9614.04,alta
Tecnologia,1876.65,253,2623.46,4.5,Septiembre,47168.42,alta
Hogar,1184.08,119,2091.88,18.9,Agosto,8180.68,alta
Ropa,,458,4783.78,33.2,Marzo,31766.61,alta
Hogar,1868.82,325,4188.3,9.9,Octubre,19454.76,alta
Deportes,74.46,151,3490.53,3.7,Abril,3454.11,media
Alimentos,1075.99,149,1903.93,5.6,Marzo,19842.5,alta
Hogar,1376.48,182,2678.44,12.6,Enero,218480.4263356837,alta
Hogar,1255.23,419,3270.08,6.2,Noviembre,26972.07,alta
Tecnologia,175.02,327,3308.66,8.2,Febrero,6711.41,alta
Deportes,1402.36,475,2769.46,19.8,Marzo,27285.93,alta
Alimentos,1070.97,278,3428.47,26.8,Diciembre,128413.68192020281,alta
Ropa,698.02,291,3534.75,23.9,Agosto,15802.09,alta
Hogar,296.8,352,1882.74,21.6,Enero,3641.96,media
Deportes,787.89,471,311.15,40.1,Febrero,7955.4,alta
Deportes,997.79,311,897.12,13.3,Mayo,12499.5,alta
Ropa,1719.8,20,4259.34,4.2,Mayo,27776.25,alta
Deportes,577.39,235,3664.83,24.0,Diciembre,14793.68,alta
Alimentos,441.19,117,4846.23,20.4,Abril,5853.08,alta
Deportes,353.8,359,2996.83,15.8,Marzo,9705.0,alta
Hogar,842.32,490,615.46,16.0,Abril,5151.74,alta
Tecnologia,503.71,304,1685.36,12.9,Abril,8094.41,alta
Tecnologia,653.73,5,3587.27,38.4,Enero,20287.43,alta
Ropa,773.91,18,,42.2,Octubre,2398.65,media
Alimentos,1558.4,338,4632.0,16.0,Septiembre,27570.49,alta
Hogar,631.83,277,3398.65,27.9,Marzo,7503.57,alta
Tecnologia,72.32,151,2938.41,18.1,Enero,4689.04,media
Hogar,,332,471.2,31.3,Diciembre,34749.4,alta
Tecnologia,1670.92,413,279.89,49.6,Enero,130628.37500589478,alta
Hogar,,142,2485.56,25.9,Diciembre,15349.57,alta
Alimentos,61.04,34,,8.6,Abril,3842.9,media
Alimentos,560.69,22,3292.75,44.4,Febrero,13354.27,alta
Deportes,1895.92,399,4742.19,22.5,Enero,11784.33,alta
Tecnologia,,94,3175.55,14.7,Junio,23121.7,alta
Tecnologia,1774.37,270,4347.97,46.7,Septiembre,48000.59,alta
Alimentos,,374,4638.51,40.4,Marzo,20221.29,alta
Ropa,621.85,140,1089.67,42.2,Agosto,7764.24,alta
Tecnologia,815.75,388,3081.49,46.7,Enero,11319.31,alta
Alimentos,104.55,437,2835.39,33.0,Diciembre,141908.05886096027,alta
Deportes,643.07,349,206.81,22.5,Enero,16007.13,alta
hogar,1608.48,147,4755.54,27.9,Diciembre,13942.76,alta
Hogar,1047.33,253,2791.59,2.4,Septiembre,31584.26,alta
Ropa,74.3,156,3583.0,7.9,Noviembre,5233.51,alta
Deportes,18.7,292,235.58,34.9,Agosto,1355.8,baja
Ropa,528.64,411,1290.94,46.8,Mayo,6390.65,alta
Alimentos,,163,,41.8,Enero,41742.4,alta
tecnologia,573.81,203,3429.89,49.4,Diciembre,18180.78,alta
Ropa,1803.83,19,699.8,46.4,Enero,123467.08249143112,alta
Alimentos,174.61,380,2961.54,18.7,Junio,5486.68,alta
Alimentos,954.46,245,4059.36,20.4,Octubre,25691.13,alta
Ropa,1732.28,146,3492.12,26.3,Mayo,48626.52,alta
Tecnologia,549.82,360,816.14,22.5,Noviembre,14785.28,alta
Tecnologia,1541.16,341,468.4,12.7,Abril,6736.29,alta
Deportes,,112,4957.33,46.1,Agosto,11406.78,alta
Hogar,1480.31,107,2837.22,26.1,Mayo,11980.87,alta
Tecnologia,1408.73,275,3454.1,46.9,Julio,35345.8,alta
Hogar,1144.54,351,4747.45,14.5,Diciembre,26252.86,alta
Ropa,876.31,185,4651.54,30.3,Diciembre,11235.09,alta
Ropa,,423,501.58,44.4,Agosto,26935.84,alta
Deportes,1167.96,358,877.95,24.8,Julio,21215.54,alta
Ropa,192.56,28,3706.11,27.1,Julio,3391.83,media
Tecnologia,505.83,450,4956.74,47.4,Marzo,6683.86,alta
Ropa,1739.21,209,4626.89,19.4,Septiembre,41400.61,alta
Tecnologia,1050.2,23,,12.0,Diciembre,34348.16,alta
Deportes,1587.26,80,4249.16,27.6,Julio,36998.25,alta
Deportes,1407.46,407,1713.31,11.2,Enero,24404.15,alta
Deportes,1709.79,461,1909.35,25.9,Noviembre,9505.05,alta
Deportes,910.69,174,434.5,18.4,Mayo,12175.6,alta
Hogar,1316.79,55,3711.76,19.5,Agosto,7865.04,alta
Deportes,575.36,28,3709.81,6.2,Marzo,11112.62,alta
Tecnologia,891.68,429,3813.82,36.0,Febrero,13762.8,alta
Alimentos,,455,748.1,10.8,Febrero,5203.73,alta
Hogar,121.95,67,3918.03,9.1,Abril,6485.43,alta
Alimentos,1682.48,427,3132.75,26.4,Febrero,16238.16,alta
Ropa,1686.51,15,2217.39,7.2,Julio,14338.12,alta
Hogar,465.24,388,13.08,47.1,Noviembre,7577.97,alta
Hogar,616.94,455,3540.98,29.7,Diciembre,7808.26,alta
Deportes,1217.48,305,2619.68,12.7,Enero,30687.16,alta
Tecnologia,1660.89,381,2575.03,24.6,Junio,12522.85,alta
Hogar,1666.55,337,166.23,22.3,Mayo,29088.75,alta
Alimentos,605.6,121,3346.67,40.9,Mayo,8192.87,alta
Alimentos,544.71,356,4583.49,30.8,Septiembre,15004.28,alta
Tecnologia,312.98,130,2550.6,43.3,Junio,8738.88,alta
ALIMENTOS,770.65,252,3080.07,43.1,Mayo,13779.48,alta
Alimentos,113.53,355,837.57,37.8,Marzo,3562.08,media
Tecnologia,803.38,437,3671.72,30.5,Marzo,20381.25,alta
Hogar,1936.65,151,4144.92,35.5,Agosto,21612.85,alta
Deportes,1326.92,64,144.59,27.0,Mayo,35910.83,alta
Tecnologia,1319.92,120,1371.62,32.8,Octubre,18499.28,alta
Ropa,1109.45,159,3211.59,29.4,Junio,26153.88,alta
Tecnologia,693.94,419,922.48,48.5,Abril,15850.22,alta
Hogar,613.17,463,1894.14,12.8,Diciembre,20993.57,alta
Hogar,151.59,346,1872.27,30.3,Noviembre,4327.08,media
Ropa,250.92,483,1758.54,16.3,Diciembre,7884.99,alta
Hogar,1985.22,389,622.0,14.6,Octubre,19879.78,alta
Hogar,1553.32,379,2222.39,45.2,Mayo,19917.55,alta
Alimentos,637.49,205,1209.4,30.1,Mayo,7435.3,alta
Tecnologia,,464,1231.98,48.9,Junio,14305.41,alta
Alimentos,506.89,438,4713.92,37.6,Julio,11475.57,alta
Hogar,1465.96,293,1655.16,18.2,Mayo,9336.77,alta
Hogar,1191.47,191,1367.83,18.5,Noviembre,14931.4,alta
Ropa,174.39,223,573.13,37.0,Marzo,4165.25,media
Hogar,93.65,327,207.07,21.5,Junio,224519.38395624954,media
Tecnologia,1930.95,137,3437.64,42.5,Septiembre,6467.16,alta
Tecnologia,611.03,215,2648.28,14.9,Enero,5666.54,alta
Deportes,1038.59,90,4434.56,1.9,Enero,20089.57,alta
Ropa,875.13,131,2098.78,32.2,Mayo,25320.69,alta
Deportes,,384,2102.27,40.2,Febrero,8738.35,alta
Alimentos,412.45,5,4893.76,5.3,Noviembre,5703.82,alta
Tecnologia,107.53,91,4300.76,0.7,Julio,6460.56,alta
Ropa,110.21,466,2798.6,46.8,Diciembre,5135.45,alta
Alimentos,1410.97,231,4519.01,18.3,Agosto,33521.82,alta
Deportes,693.83,398,3420.05,27.7,Marzo,16181.84,alta
Alimentos,450.91,385,2599.9,21.3,Enero,7672.04,alta
Alimentos,1200.74,193,2409.81,16.3,Febrero,5487.31,alta
Hogar,138.72,416,4898.11,18.4,Diciembre,7092.34,alta
Hogar,1254.16,423,827.69,7.0,Junio,10379.44,alta
Deportes,1892.01,273,3405.82,23.8,Febrero,21860.51,alta
Alimentos,316.78,206,4490.09,7.0,Diciembre,11050.68,alta
Alimentos,1138.47,188,,1.4,Octubre,17826.72,alta
Deportes,968.57,205,2024.19,23.2,Octubre,7145.62,alta
Ropa,131.27,115,406.15,21.6,Julio,4016.55,media
TECNOLOGIA,94.63,64,4136.75,13.2,Julio,5040.34,alta
Alimentos,1570.05,333,379.19,24.0,Septiembre,38375.29,alta
Deportes,1982.13,379,3935.39,22.7,Julio,50759.05,alta
Tecnologia,142.51,115,896.51,33.7,Febrero,4466.25,media
Ropa,821.78,100,4068.95,0.2,Enero,8341.25,alta
Tecnologia,684.76,132,229.95,43.4,Febrero,14169.12,alta
Tecnologia,677.84,380,1491.08,43.7,Agosto,20297.0,alta
Hogar,1883.94,242,2522.84,9.5,Junio,49427.57,alta
Ropa,617.8,147,466.2,3.7,Septiembre,6686.95,alta
Tecnologia,1893.95,94,1361.93,44.0,Noviembre,56728.76,alta
Alimentos,566.14,8,3835.64,17.2,Marzo,9974.81,alta
Deportes,742.48,463,4004.44,21.6,Enero,14350.25,alta
Alimentos,1009.35,13,,16.6,Noviembre,25951.89,alta
Ropa,50.14,240,1585.15,31.4,Julio,156753.30089601717,media
Hogar,,409,2043.33,13.0,Mayo,24761.97,alta
Hogar,1309.21,151,1842.26,41.7,Febrero,19644.54,alta
Deportes,400.17,351,121.9,6.8,Agosto,6631.98,alta
Hogar,134.71,343,1920.33,46.1,Diciembre,2288.75,media
Deportes,88.0,417,1942.01,15.5,Junio,2646.48,media
Hogar,1295.83,33,11.9,35.7,Febrero,29587.65,alta
HOGAR,1850.59,241,3905.42,19.9,Febrero,33294.17,alta
Deportes,1507.19,125,2633.98,36.8,Marzo,8766.44,alta
Ropa,1677.12,338,1799.84,37.5,Noviembre,20530.12,alta
Alimentos,1529.32,190,4403.0,6.0,Septiembre,34548.88,alta
Tecnologia,1831.17,486,4902.1,28.0,Diciembre,31253.65,alta
Ropa,654.04,124,3232.96,0.1,Diciembre,17448.83,alta
Deportes,1139.7,499,2587.36,47.6,Febrero,17051.6,alta
Ropa,1712.32,207,2222.37,23.6,Septiembre,126585.35736615276,alta
Tecnologia,140.46,337,1393.91,46.5,Enero,3674.93,media
Alimentos,,336,38.82,32.8,Agosto,26478.05,alta
Hogar,,399,2046.6,7.1,Junio,2982.84,media
Ropa,257.87,183,4537.69,23.9,Septiembre,6737.83,alta
Deportes,,229,1276.96,36.5,Julio,42836.01,alta
alimentos,542.99,347,2470.93,20.9,Enero,10901.87,alta
Hogar,667.25,316,3736.22,13.1,Mayo,9985.69,alta
ROPA,658.86,90,4304.49,45.2,Noviembre,19284.47,alta
Tecnologia,,315,1410.66,16.9,Febrero,24113.52,alta
Tecnologia,480.31,271,163.02,45.8,Noviembre,6565.72,alta
Alimentos,1252.57,474,3061.71,38.1,Junio,30107.66,alta
Tecnologia,1814.32,119,3823.88,21.1,Octubre,11902.37,alta
Tecnologia,1218.83,110,2583.25,2.4,Abril,32412.71,alta
Ropa,107.05,458,1870.53,0.6,Octubre,4806.81,media
Hogar,,195,3415.51,16.8,Abril,9853.61,alta
Deportes,272.03,98,2542.14,40.0,Enero,6444.45,alta
Alimentos,416.36,234,1051.91,18.3,Junio,5431.22,alta
alimentos,1729.82,244,3496.54,47.7,Diciembre,52467.46,alta
Deportes,671.53,31,3810.19,17.9,Septiembre,7554.81,alta
Hogar,595.31,495,4327.14,9.3,Mayo,12200.17,alta
Tecnologia,132.45,298,3412.01,21.6,Diciembre,6509.01,alta
Ropa,247.25,236,559.83,34.4,Marzo,5100.63,alta
Deportes,1218.68,5,843.04,36.1,Julio,3698.07,media
Deportes,,153,1003.74,7.7,Noviembre,38733.72,alta
Tecnologia,565.27,138,2066.68,16.5,Septiembre,3971.96,media
Hogar,881.69,325,2298.41,24.6,Marzo,18932.89,alta
Alimentos,1937.66,219,1261.29,6.9,Octubre,6566.36,alta
Hogar,965.87,22,1937.9,10.7,Agosto,17798.7,alta
Alimentos,1469.33,441,1760.17,5.2,Octubre,27037.32,alta
Alimentos,1933.02,476,,3.2,Febrero,54492.38,alta
Ropa,24.23,428,924.15,14.5,Julio,2380.42,media
Hogar,1537.28,246,696.93,29.9,Agosto,10118.15,alta
Ropa,1090.4,348,1207.18,8.7,Junio,5582.63,alta
Alimentos,,159,741.47,2.1,Octubre,27103.44,alta
Hogar,1922.89,206,178.7,24.1,Marzo,15407.14,alta
Tecnologia,445.42,449,3094.26,45.8,Septiembre,8045.56,alta
Deportes,801.45,395,331.96,38.4,Junio,19486.22,alta
Tecnologia,,352,3115.69,32.5,Mayo,5738.11,alta
Hogar,793.22,110,2988.26,37.0,Octubre,17556.56,alta
Tecnologia,1940.15,455,2696.83,3.5,Diciembre,51121.96,alta
Deportes,1725.32,132,4670.68,49.7,Junio,44470.08,alta
Deportes,,441,2177.43,19.4,Febrero,17813.84,alta
Tecnologia,793.81,499,342.44,45.4,Abril,9242.33,alta
Hogar,1154.59,171,2615.02,10.9,Junio,17102.79,alta
Alimentos,1530.52,22,1588.77,17.6,Mayo,27262.42,alta
Deportes,995.74,99,3460.07,42.4,Enero,12834.61,alta
Alimentos,1825.28,41,4434.97,32.9,Junio,27758.36,alta
Deportes,263.95,311,23.54,16.2,Marzo,4583.29,media
Tecnologia,1701.52,21,,43.0,Agosto,21227.98,alta
Tecnologia,106.41,320,449.86,4.1,Mayo,1730.71,media
tecnologia,1377.56,306,3890.86,18.8,Enero,10465.82,alta
Alimentos,571.78,280,3003.37,43.8,Abril,10865.75,alta
Deportes,1989.25,287,185.21,40.9,Abril,41421.98,alta
Hogar,1141.31,442,2654.11,2.7,Enero,20485.96,alta
Ropa,1849.76,498,4596.69,39.6,Febrero,10549.95,alta
Alimentos,1646.64,297,2787.36,11.3,Julio,27182.61,alta
Tecnologia,829.82,418,3492.2,8.9,Junio,22046.62,alta
Deportes,653.0,436,2647.56,24.1,Septiembre,11942.2,alta
Ropa,151.38,357,4788.14,44.9,Enero,5773.49,alta
Ropa,1226.3,176,2823.61,3.1,Febrero,14839.44,alta
Alimentos,1918.43,6,2109.51,39.5,Septiembre,43585.75,alta
Alimentos,921.08,291,,5.3,Octubre,12071.12,alta
Deportes,744.7,276,1908.58,30.5,Junio,12605.35,alta
Alimentos,1451.01,133,3582.93,5.8,Enero,9883.55,alta
Hogar,54.51,367,2052.11,16.9,Noviembre,2473.04,media
Deportes,252.51,316,,14.2,Mayo,9321.14,alta
Tecnologia,1089.93,106,1120.94,22.3,Agosto,26427.06,alta
Tecnologia,1874.92,471,716.48,46.1,Junio,21065.82,alta
Deportes,1196.85,300,390.89,0.4,Julio,30810.23,alta
alimentos,922.4,279,4327.82,21.7,Junio,24962.26,alta
Hogar,50.24,380,2990.63,30.3,Junio,3406.98,media
Deportes,481.97,225,3557.0,31.6,Junio,16556.31,alta
Tecnologia,366.94,278,4454.68,7.5,Marzo,7351.32,alta
Deportes,429.59,105,3434.04,42.8,Septiembre,14225.18,alta
Tecnologia,700.41,289,2488.3,24.9,Junio,4557.9,media
Hogar,,120,2677.42,11.7,Agosto,22281.59,alta
Hogar,1760.19,121,3832.52,22.1,Marzo,54852.99,alta
DEPORTES,1021.72,482,920.78,32.0,Diciembre,10121.83,alta
Ropa,449.41,93,53.81,0.6,Julio,11872.44,alta
Deportes,569.94,249,4788.39,19.5,Julio,12088.25,alta
Hogar,29.92,131,1433.38,32.0,Abril,1808.32,media
Deportes,985.69,303,2375.64,33.2,Mayo,21661.32,alta
Hogar,270.34,285,1550.99,26.6,Noviembre,8953.78,alta
Alimentos,409.64,50,4604.6,41.3,Octubre,7463.93,alta
Hogar,,303,4688.97,21.9,Julio,25306.69,alta
ROPA,522.11,42,849.1,49.3,Septiembre,9029.4,alta
Ropa,190.28,158,1976.54,5.8,Mayo,4907.68,media
Deportes,1462.43,342,1659.98,34.5,Julio,34556.85,alta
Deportes,716.19,252,,30.4,Marzo,10614.81,alta
Deportes,286.12,418,1684.62,13.8,Abril,7004.9,alta
Alimentos,1988.35,270,2119.88,4.7,Mayo,20127.21,alta
Tecnologia,1751.68,162,1994.3,37.2,Mayo,19517.01,alta
Deportes,1507.14,496,3307.2,18.5,Octubre,35390.34,alta
Ropa,409.53,397,4367.19,33.4,Enero,13671.22,alta
Tecnologia,1292.77,53,156.03,28.9,Enero,17685.24,alta
Alimentos,252.92,480,,35.7,Marzo,8869.08,alta
Tecnologia,769.12,490,2149.98,5.1,Diciembre,16084.57,alta
Tecnologia,628.5,261,3945.27,46.1,Febrero,7766.83,alta
TECNOLOGIA,91.99,22,2640.34,2.5,Octubre,4850.6,media
Alimentos,693.04,182,3602.43,46.4,Enero,16095.13,alta
Tecnologia,568.35,117,3204.41,49.1,Mayo,4590.44,media
Ropa,1510.88,177,,32.9,Agosto,44913.14,alta
Hogar,758.49,73,3976.59,31.7,Junio,4914.93,media
Ropa,909.57,128,2922.86,29.9,Octubre,29691.91,alta
Alimentos,26.83,343,63.3,30.0,Julio,457.99,baja
Tecnologia,1571.23,239,4229.58,41.5,Noviembre,40841.41,alta
Hogar,1015.41,91,3060.95,11.4,Agosto,27145.71,alta
ROPA,,208,2027.33,37.5,Mayo,122956.98578167499,alta
Deportes,1911.91,462,2791.11,35.6,Julio,48763.5,alta
Tecnologia,33.98,26,814.61,38.4,Mayo,507.22,baja
Tecnologia,1982.54,285,3523.41,4.4,Julio,11626.15,alta
Ropa,1420.35,205,1375.44,31.0,Diciembre,27661.34,alta
Alimentos,1108.62,412,2935.16,20.0,Abril,26594.78,alta
Deportes,369.79,281,1192.19,37.0,Septiembre,10976.02,alta
Alimentos,324.38,384,4377.34,27.1,Abril,9417.87,alta
Hogar,,55,2195.61,35.6,Noviembre,13093.22,alta
Alimentos,1855.57,334,2084.45,46.7,Diciembre,13959.76,alta
Tecnologia,1648.83,428,4733.69,46.0,Abril,44557.78,alta
Hogar,1855.64,428,1465.09,46.1,Julio,46111.67,alta
Tecnologia,635.98,456,3472.57,45.0,Marzo,15485.23,alta
Tecnologia,160.62,213,720.15,20.1,Julio,3094.37,media
Alimentos,488.31,300,209.88,32.0,Agosto,9390.41,alta
hogar,1818.51,118,1714.07,32.3,Abril,21006.35,alta
Alimentos,1479.55,413,3603.97,39.1,Junio,26690.52,alta
Hogar,637.07,495,768.93,20.8,Abril,19111.11,alta
Tecnologia,1773.43,441,3372.06,12.9,Enero,12730.71,alta
ropa,312.39,55,1314.79,24.6,Abril,2937.97,media
Hogar,1084.92,259,2498.57,46.8,Marzo,10244.34,alta
Hogar,1363.69,462,2311.13,36.2,Noviembre,26279.02,alta
Alimentos,131.28,72,2144.53,10.1,Septiembre,2674.69,media
Deportes,761.29,256,2123.32,47.9,Diciembre,17503.42,alta
Alimentos,471.6,386,236.9,38.6,Junio,160727.00687854298,alta
Alimentos,827.17,454,2243.21,45.3,Junio,8777.77,alta
Ropa,1675.42,344,3235.26,48.8,Octubre,8160.18,alta
Tecnologia,1883.2,117,4370.23,26.4,Abril,54840.66,alta
Hogar,1835.89,485,1698.16,41.2,Junio,30936.02,alta
Ropa,648.51,449,,40.8,Abril,11398.65,alta
Deportes,923.56,371,,25.5,Agosto,13434.7,alta
Alimentos,675.29,79,1353.01,20.2,Mayo,12720.89,alta
Tecnologia,206.44,183,1638.48,34.0,Mayo,6199.83,alta
Deportes,451.24,116,365.44,14.0,Agosto,3442.35,media
Deportes,923.5,99,1206.35,1.2,Agosto,14187.7,alta
Ropa,,86,3818.46,27.4,Diciembre,5845.54,alta
Alimentos,1964.49,87,1350.88,8.8,Octubre,43126.67,alta
Ropa,901.76,416,,29.6,Febrero,27715.41,alta
Ropa,1052.59,217,82.59,39.0,Noviembre,18811.59,alta
Hogar,1472.91,117,1533.85,37.6,Julio,33109.81,alta
Ropa,,233,1769.05,49.3,Marzo,3117.64,media
Tecnologia,192.69,99,1901.26,21.8,Enero,4273.77,media
Tecnologia,1697.5,299,4830.81,16.0,Diciembre,53232.36,alta
Alimentos,278.27,134,3323.59,26.3,Septiembre,10203.28,alta
Ropa,532.54,393,4513.31,11.4,Julio,11171.71,alta
Hogar,727.92,364,143.09,8.2,Noviembre,4582.36,media
Hogar,,63,2211.97,10.9,Marzo,13669.2,alta
Hogar,,294,1166.01,15.5,Febrero,6343.37,alta
Tecnologia,1812.95,176,4369.52,16.1,Junio,36036.66,alta
Ropa,1975.42,140,4741.03,33.1,Junio,43471.82,alta
Alimentos,1495.02,18,2974.52,21.0,Diciembre,14853.55,alta
Alimentos,1386.05,312,2069.21,29.6,Septiembre,37476.62,alta
Ropa,622.03,452,4358.06,2.9,Noviembre,14396.62,alta
Alimentos,1299.95,439,1210.34,47.4,Enero,8387.98,alta
Deportes,921.09,453,4913.94,14.1,Marzo,27335.74,alta
Tecnologia,365.65,59,83.76,3.0,Mayo,5149.48,alta
Deportes,1589.17,256,470.06,32.2,Febrero,23368.89,alta
Ropa,1260.19,173,298.26,42.6,Noviembre,17665.35,alta
Ropa,1175.35,153,564.97,19.2,Enero,9434.56,alta
Tecnologia,1181.27,302,4297.94,9.4,Septiembre,7147.95,alta
Tecnologia,1830.91,482,1969.75,21.8,Marzo,42203.1,alta
Hogar,1166.5,45,3538.19,33.8,Junio,15947.51,alta
Hogar,1395.62,228,4508.18,11.4,Abril,10372.64,alta
Ropa,1497.69,398,3245.67,31.8,Abril,41327.24,alta
Hogar,597.95,210,3860.86,42.2,Diciembre,9266.8,alta
Hogar,1497.35,142,579.97,5.0,Agosto,44128.63,alta
ALIMENTOS,461.27,449,3505.81,5.7,Septiembre,10604.17,alta
Ropa,867.08,23,471.61,9.5,Abril,16383.04,alta
Deportes,,17,4852.0,17.5,Agosto,55716.95,alta
Tecnologia,,186,1128.9,39.8,Abril,30162.34,alta
Ropa,1719.22,373,1155.52,36.8,Octubre,45422.28,alta
Hogar,703.86,438,4976.45,28.7,Enero,15196.22,alta
Hogar,850.66,179,3766.42,26.0,Noviembre,9792.65,alta
Alimentos,782.44,47,1936.96,29.5,Mayo,12036.24,alta
TECNOLOGIA,465.62,18,1007.24,23.8,Abril,9420.11,alta
Deportes,1320.98,447,4989.15,49.5,Septiembre,28203.12,alta
Tecnologia,1680.98,250,2280.71,27.2,Agosto,36897.23,alta
Hogar,893.76,111,1040.12,0.7,Agosto,15139.09,alta
