edad,ingreso_mensual,num_creditos_anteriores,dias_mora_historico,tiene_deuda_vigente,nivel_educacion,monto_credito_otorgado,riesgo
36,9991.34,5,26.5,1,Universitario,25174.44,no_moroso
44,11035.3,2,19.2,0,Posgrado,29568.54,no_moroso
50,8198.08,1,3.0,0,Tecnico,21506.21,no_moroso
65,,3,1.2,0,Posgrado,38052.86,no_moroso
63,6679.4,2,5.5,1,Tecnico,14964.35,no_moroso
62,3663.14,8,8.0,0,Tecnico,10590.81,no_moroso
45,4285.19,0,8.3,0,Secundaria,11025.3,no_moroso
69,11334.36,5,28.0,1,Secundaria,26613.8,no_moroso
32,2224.45,1,14.4,1,Posgrado,6622.5,no_moroso
50,7671.52,5,2.2,0,Tecnico,20412.46,no_moroso
25,3938.64,8,35.1,0,Tecnico,9855.29,moroso
46,8447.91,9,17.2,0,SECUNDARIA,22110.94,no_moroso
27,13616.06,7,1.9,1,Posgrado,37079.46,no_moroso
39,7258.23,4,36.2,0,Tecnico,269809.57182139833,moroso
57,3257.38,6,22.1,0,Universitario,286098.4206774391,no_moroso
47,,2,0.9,0,Tecnico,26131.74,no_moroso
69,6027.59,3,33.5,1,Tecnico,13156.23,moroso
32,7610.83,6,50.2,1,Universitario,16297.4,moroso
34,,6,5.3,0,Tecnico,6243.14,no_moroso
22,7364.77,4,18.5,0,Universitario,20351.31,no_moroso
33,11638.87,8,1.8,1,Secundaria,28349.05,no_moroso
48,9297.2,3,61.0,0,Universitario,22022.48,moroso
57,9892.29,1,1.7,0,Posgrado,28330.49,no_moroso
30,13350.9,6,21.3,0,Universitario,35935.36,no_moroso
28,3396.81,2,16.4,1,Posgrado,9744.19,no_moroso
23,5128.69,0,13.2,0,Universitario,12941.44,no_moroso
18,9831.43,8,7.6,1,Secundaria,24658.87,no_moroso
31,7150.42,1,39.7,0,Tecnico,16910.26,moroso
64,14923.27,3,23.0,1,Tecnico,36211.5,no_moroso
53,,1,1.6,0,Universitario,13188.3,no_moroso
46,9115.25,3,101.8,1,Secundaria,296208.9290604293,moroso
51,6915.97,4,4.6,1,Universitario,18762.85,no_moroso
62,1286.08,0,2.2,0,Tecnico,2601.83,no_moroso
55,9426.52,7,18.5,0,Universitario,25058.59,no_moroso
49,5633.77,4,,0,Secundaria,13381.39,moroso
63,7261.22,0,69.8,0,Universitario,16827.04,moroso
23,,0,1.9,0,Secundaria,5238.53,no_moroso
25,9149.12,0,8.0,0,Tecnico,22515.18,no_moroso
48,6955.85,2,9.5,1,POSGRADO,19596.01,no_moroso
57,5216.86,7,21.6,1,UNIVERSITARIO,12500.91,no_moroso
19,7193.99,0,20.9,1,Tecnico,15943.39,no_moroso
42,,3,5.5,1,Tecnico,22766.29,no_moroso
57,5922.62,0,7.4,1,Tecnico,14450.31,no_moroso
65,9037.16,0,21.4,0,Secundaria,21368.81,no_moroso
28,1431.56,2,5.2,0,Secundaria,3598.1,no_moroso
66,12914.1,6,9.9,1,Secundaria,31547.47,no_moroso
30,10210.57,1,2.1,0,Secundaria,25888.37,no_moroso
24,14620.98,0,9.9,0,Secundaria,36070.6,no_moroso
40,1054.72,4,3.3,0,Tecnico,3668.47,no_moroso
31,9269.31,0,36.5,1,Posgrado,22932.27,moroso
43,13009.71,9,,0,Secundaria,305097.9394905719,no_moroso
60,11578.89,3,2.8,0,Tecnico,29490.66,no_moroso
18,2680.0,2,13.5,1,Tecnico,5289.93,no_moroso
63,4459.38,2,3.0,1,Tecnico,9785.23,no_moroso
50,14314.18,8,8.9,1,Universitario,36587.49,no_moroso
55,8866.2,4,22.5,0,Secundaria,21896.83,no_moroso
44,1035.89,0,2.2,0,Universitario,3822.6,no_moroso
59,4886.4,4,27.4,0,Tecnico,12580.32,no_moroso
41,5471.37,0,0.6,1,Posgrado,15021.95,no_moroso
29,9939.25,3,8.0,0,Universitario,25472.52,no_moroso
38,8671.61,7,2.4,1,Secundaria,22144.41,no_moroso
62,9892.77,6,22.3,1,POSGRADO,26371.28,no_moroso
43,10108.79,3,26.8,0,Universitario,25292.93,no_moroso
26,8982.16,1,,0,Universitario,22706.72,no_moroso
52,14785.29,1,0.9,0,Universitario,39643.1,no_moroso
18,2648.7,7,10.6,0,Secundaria,7398.85,no_moroso
25,8141.0,6,10.3,1,Universitario,20817.66,no_moroso
51,5247.71,8,14.7,0,Secundaria,13455.3,no_moroso
18,5412.28,6,21.5,0,Tecnico,13901.92,no_moroso
64,3841.0,8,30.8,0,Secundaria,9368.73,moroso
65,14112.84,4,1.8,1,Tecnico,34461.33,no_moroso
39,14657.9,0,1.0,0,Posgrado,40288.25,no_moroso
43,9292.92,9,1.1,0,Tecnico,25015.21,no_moroso
43,11382.37,5,5.0,1,Tecnico,28709.81,no_moroso
59,11763.99,2,18.4,1,Tecnico,28018.82,no_moroso
50,8236.68,2,1.0,0,Tecnico,21525.0,no_moroso
39,4473.86,9,72.7,0,Tecnico,9468.87,moroso
32,9634.68,7,2.7,1,Secundaria,24390.2,no_moroso
62,10742.17,8,4.6,0,Tecnico,28556.34,no_moroso
57,14415.63,7,10.6,1,Tecnico,36412.97,no_moroso
52,13823.6,8,7.6,0,Posgrado,39031.19,no_moroso
34,14796.12,5,1.4,0,Tecnico,37281.23,no_moroso
50,11562.84,6,15.2,0,Posgrado,31841.27,no_moroso
56,7350.83,2,7.7,1,Tecnico,18128.14,no_moroso
23,,1,5.1,1,Secundaria,27993.57,no_moroso
68,,9,11.1,1,Universitario,21794.48,no_moroso
67,,1,2.4,0,Tecnico,4792.22,no_moroso
33,9376.59,2,19.1,0,Posgrado,26583.35,no_moroso
46,,3,59.9,1,Secundaria,33351.26,moroso
27,6361.04,7,21.0,0,Posgrado,19442.4,no_moroso
65,10786.57,3,11.6,1,Tecnico,26116.78,no_moroso
30,7898.58,3,3.4,0,universitario,21766.14,no_moroso
25,10640.68,3,4.1,1,Universitario,26686.65,no_moroso
49,11154.3,1,5.2,1,Tecnico,27078.45,no_moroso
30,13804.52,5,25.3,1,Universitario,33550.19,no_moroso
18,12747.22,0,2.4,1,Universitario,31728.42,no_moroso
28,9005.8,8,14.8,1,Posgrado,24861.43,no_moroso
47,9251.07,5,8.3,0,Posgrado,27359.7,no_moroso
38,12235.6,6,0.9,0,Tecnico,32090.95,no_moroso
40,6322.24,2,13.1,1,Tecnico,14035.96,no_moroso
47,1507.04,9,9.2,0,Tecnico,4933.89,no_moroso
44,13470.96,9,2.3,0,Universitario,36709.17,no_moroso
27,2212.2,6,0.7,0,Posgrado,9653.15,no_moroso
39,3962.52,7,20.4,1,Tecnico,9210.12,no_moroso
28,1348.56,4,9.0,0,Tecnico,4949.86,no_moroso
41,7466.31,6,,1,UNIVERSITARIO,18840.36,no_moroso
63,12734.85,1,0.3,0,Tecnico,31710.52,no_moroso
66,14963.47,0,7.3,1,Secundaria,35080.26,no_moroso
61,11412.38,5,21.8,0,Tecnico,28785.22,no_moroso
19,14363.68,2,,1,Secundaria,34829.35,no_moroso
37,9353.73,3,15.0,1,Universitario,22520.94,no_moroso
23,9981.46,2,0.2,1,Universitario,25333.87,no_moroso
63,11374.21,9,54.6,0,Universitario,28955.62,moroso
20,12058.42,7,77.0,0,Universitario,29013.93,moroso
35,12749.64,5,6.2,0,Universitario,33658.54,no_moroso
34,6159.2,6,26.0,0,Secundaria,15123.84,no_moroso
42,13882.88,1,10.4,1,Universitario,34395.94,no_moroso
46,5825.84,6,19.6,0,Universitario,16449.51,no_moroso
21,1454.77,9,6.2,1,Posgrado,7333.73,no_moroso
62,1390.21,6,7.0,0,Tecnico,4450.58,no_moroso
28,10064.4,4,3.4,1,Universitario,25776.82,no_moroso
34,12023.28,5,47.2,0,Tecnico,30075.31,moroso
58,6390.61,4,29.8,0,Universitario,16944.41,no_moroso
45,2061.37,0,3.9,1,Tecnico,3803.06,no_moroso
53,,9,51.5,1,Secundaria,15408.87,moroso
54,11902.75,9,1.7,1,Universitario,31198.66,no_moroso
69,2630.68,5,8.6,0,Tecnico,9283.31,no_moroso
44,6307.89,7,13.3,0,Posgrado,18743.53,no_moroso
30,2085.09,3,28.2,0,Tecnico,5057.63,no_moroso
27,1491.52,0,54.2,0,Tecnico,766.15,moroso
66,3430.22,6,12.8,0,Posgrado,12397.82,no_moroso
20,8386.41,7,,0,Tecnico,22608.16,no_moroso
58,7866.25,3,23.4,1,Secundaria,17360.14,no_moroso
48,11434.08,4,63.0,0,Universitario,27982.91,moroso
66,12147.08,2,24.8,0,Secundaria,29629.44,no_moroso
20,13953.74,3,0.2,0,Universitario,37817.98,no_moroso
59,3276.4,6,1.9,1,SECUNDARIA,7159.01,no_moroso
38,5663.86,8,16.5,0,Universitario,16106.07,no_moroso
23,5512.39,5,1.6,0,Tecnico,15307.13,no_moroso
32,5265.03,7,10.7,0,Posgrado,17592.6,no_moroso
49,14015.75,0,10.0,0,Tecnico,35831.39,no_moroso
64,7144.59,7,25.0,0,Tecnico,17932.99,no_moroso
63,12199.37,8,35.9,1,Universitario,29751.85,moroso
24,11037.38,7,31.8,1,Secundaria,26664.84,moroso
52,7058.85,4,79.2,1,Universitario,14309.11,moroso
53,13401.14,3,8.8,1,Universitario,33825.0,no_moroso
60,7456.05,3,0.4,0,Tecnico,19556.8,no_moroso
51,9041.41,9,7.2,0,Secundaria,24381.4,no_moroso
35,9958.65,5,15.5,0,Universitario,26754.55,no_moroso
29,14117.43,0,2.0,0,Universitario,36897.39,no_moroso
19,3172.48,3,13.4,1,Universitario,7542.78,no_moroso
33,11047.5,5,17.3,0,Tecnico,28316.86,no_moroso
31,7047.79,7,4.6,1,Posgrado,19948.45,no_moroso
44,5069.52,8,7.4,0,Tecnico,14094.24,no_moroso
29,1170.29,2,29.1,0,Universitario,3033.59,no_moroso
60,7687.38,8,,0,Secundaria,20437.22,no_moroso
43,13202.82,8,14.3,0,universitario,35588.55,no_moroso
19,14356.29,0,1.6,0,Tecnico,35568.06,no_moroso
48,5083.85,1,18.9,1,universitario,12065.78,no_moroso
49,11464.79,7,13.1,1,Tecnico,27973.07,no_moroso
62,8731.45,6,29.4,0,Universitario,23159.77,no_moroso
52,10411.87,5,7.3,1,Tecnico,26292.11,no_moroso
34,9135.27,2,1.4,1,Posgrado,24257.12,no_moroso
34,12072.63,7,2.9,0,Universitario,33005.9,no_moroso
45,10031.0,9,5.7,0,Secundaria,27274.78,no_moroso
56,8266.47,1,51.1,0,Tecnico,18772.65,moroso
18,6155.98,7,5.3,1,Secundaria,15003.56,no_moroso
26,6036.57,9,12.5,1,Tecnico,15670.18,no_moroso
55,9730.24,9,17.9,0,Secundaria,25353.37,no_moroso
45,4900.2,2,7.4,1,Universitario,12928.37,no_moroso
67,10678.75,2,19.4,0,Tecnico,26050.94,no_moroso
30,9211.88,5,26.2,0,Tecnico,23102.63,no_moroso
18,13346.61,8,8.9,1,Universitario,240400.04107755312,no_moroso
49,8852.11,8,5.9,1,Posgrado,24976.99,no_moroso
19,9472.91,8,12.1,1,Secundaria,23694.13,no_moroso
19,5105.57,1,11.2,0,Universitario,13942.17,no_moroso
45,,2,5.6,1,Tecnico,22558.35,no_moroso
52,11755.72,8,13.1,0,Secundaria,31371.74,no_moroso
32,1147.86,6,22.2,1,Secundaria,1683.42,no_moroso
61,1463.08,9,4.0,1,Tecnico,4298.74,no_moroso
25,10896.94,1,,0,Posgrado,29418.48,no_moroso
66,12957.9,1,3.8,1,Tecnico,31553.07,no_moroso
32,8725.14,4,18.1,0,Secundaria,22231.69,no_moroso
23,8503.34,9,5.2,1,Universitario,22089.75,no_moroso
30,11792.54,5,,1,Tecnico,28112.56,moroso
44,14982.45,9,52.9,1,Secundaria,34984.42,moroso
25,6397.5,2,,1,Universitario,14768.52,moroso
49,,5,7.4,0,Universitario,32583.82,no_moroso
24,1002.41,0,4.8,0,Posgrado,5213.04,no_moroso
48,,2,11.4,0,Tecnico,10950.49,no_moroso
59,14061.86,2,20.3,1,Tecnico,33467.53,no_moroso
37,13393.78,2,1.9,0,Posgrado,278488.24088745477,no_moroso
23,14692.4,2,0.3,0,Tecnico,37669.47,no_moroso
44,14613.08,3,3.8,0,Tecnico,37275.22,no_moroso
26,,4,25.5,0,Universitario,24204.3,no_moroso
18,5924.52,6,1.3,0,Tecnico,15813.45,no_moroso
60,8179.78,5,11.1,1,Universitario,21109.32,no_moroso
24,12548.63,4,,0,Secundaria,31942.6,no_moroso
44,14132.14,0,0.3,1,Tecnico,35027.45,no_moroso
31,11615.74,5,17.7,1,Universitario,29248.03,no_moroso
32,1679.75,8,6.6,1,Universitario,5313.67,no_moroso
32,8138.66,6,11.5,0,Posgrado,23452.52,no_moroso
40,2182.58,8,7.6,0,Secundaria,5944.73,no_moroso
27,11179.99,1,2.5,0,Universitario,29722.63,no_moroso
41,3619.53,5,60.2,1,Tecnico,7170.19,moroso
51,9233.34,3,2.7,0,Tecnico,24403.07,no_moroso
66,7557.33,3,0.3,0,Secundaria,20116.07,no_moroso
62,3736.71,5,0.1,1,Universitario,10464.52,no_moroso
65,8958.36,3,1.3,1,Universitario,23387.38,no_moroso
52,12282.44,0,0.5,0,Tecnico,30748.09,no_moroso
21,2617.34,1,3.2,1,Tecnico,5935.27,no_moroso
50,11405.93,9,28.2,0,tecnico,28260.01,no_moroso
69,12806.7,7,30.7,0,Universitario,34237.12,moroso
41,8568.94,7,2.6,0,Tecnico,22474.96,no_moroso
23,,4,17.9,0,Posgrado,40373.93,no_moroso
43,11048.37,3,96.6,1,Tecnico,21592.68,moroso
48,13074.44,3,15.5,0,Universitario,34831.28,no_moroso
60,14929.84,9,32.4,0,TECNICO,38988.55,moroso
24,8355.43,4,28.5,0,Universitario,21276.46,no_moroso
40,8015.79,3,27.8,1,Posgrado,20877.0,no_moroso
45,9846.45,5,17.3,1,Tecnico,23831.82,no_moroso
54,12437.45,5,23.1,0,Universitario,207946.83812324272,no_moroso
28,3554.8,0,6.8,0,Tecnico,9185.28,no_moroso
22,6849.76,9,5.8,0,Tecnico,19266.94,no_moroso
53,9250.42,9,8.8,0,Secundaria,23613.83,no_moroso
62,4169.45,5,5.9,0,Posgrado,14955.52,no_moroso
49,4020.78,4,24.9,0,Secundaria,9966.03,no_moroso
29,5734.02,5,1.0,0,Secundaria,15637.63,no_moroso
68,12600.72,7,2.3,1,Universitario,32229.8,no_moroso
60,900.42,9,32.0,1,Tecnico,1670.94,moroso
53,9086.21,4,13.9,0,Tecnico,22849.12,no_moroso
45,11639.04,1,2.6,1,Secundaria,27085.84,no_moroso
55,4285.69,8,6.8,0,Tecnico,13027.83,no_moroso
42,11111.89,2,23.3,1,Tecnico,25442.15,no_moroso
49,6637.11,5,1.0,0,Universitario,20796.51,no_moroso
60,5941.15,6,7.6,1,Tecnico,13942.43,no_moroso
37,5102.87,8,16.6,0,Tecnico,13577.69,no_moroso
65,1756.73,0,19.9,0,Secundaria,2669.64,no_moroso
56,6409.34,1,2.2,0,Universitario,18152.82,no_moroso
22,7283.5,9,19.4,0,Tecnico,20096.1,no_moroso
40,,1,,0,Universitario,33455.52,no_moroso
38,11609.61,0,3.3,0,Tecnico,29143.62,no_moroso
25,14614.44,8,3.6,0,Tecnico,38577.45,no_moroso
18,5826.57,8,34.4,0,Universitario,15914.66,moroso
24,8589.66,9,6.3,0,Secundaria,22821.04,no_moroso
45,1290.88,7,32.3,0,Tecnico,3294.62,moroso
61,10552.04,0,9.1,0,Universitario,27511.31,no_moroso
38,12443.2,6,0.7,1,Universitario,32744.24,no_moroso
24,8175.88,6,65.2,1,Posgrado,229227.80582469187,moroso
62,4561.18,1,10.0,1,Tecnico,9772.78,no_moroso
45,1595.53,4,14.5,1,secundaria,2860.11,no_moroso
40,11315.67,9,78.8,1,Universitario,25646.32,moroso
66,,5,6.7,0,Secundaria,37671.28,no_moroso
37,7522.1,5,8.4,0,Universitario,21640.99,no_moroso
59,14568.67,0,4.6,0,Tecnico,37516.86,no_moroso
60,10673.46,2,16.9,0,Universitario,28144.44,no_moroso
23,,0,34.0,1,Secundaria,27496.69,moroso
67,12486.42,1,12.0,0,Tecnico,32031.57,no_moroso
18,9690.04,0,45.1,1,Universitario,22319.32,moroso
66,5895.36,6,7.1,1,Tecnico,13687.31,no_moroso
31,2907.7,3,7.1,0,Universitario,8937.92,no_moroso
49,,2,21.1,0,Secundaria,35108.08,no_moroso
26,12411.65,0,31.1,0,Tecnico,29758.57,moroso
19,13214.44,3,11.2,0,Tecnico,33422.91,no_moroso
41,2494.1,6,,1,Tecnico,5575.96,no_moroso
29,9509.67,6,8.5,0,Secundaria,25053.79,no_moroso
29,10441.17,9,7.7,1,Universitario,28014.67,no_moroso
54,11329.59,6,10.9,0,Universitario,30587.8,no_moroso
62,4720.14,9,9.6,0,Universitario,15364.89,no_moroso
46,8088.63,8,35.8,1,Secundaria,18450.81,moroso
68,13936.61,6,17.6,1,Secundaria,34064.05,no_moroso
51,6382.72,5,9.9,0,Tecnico,18316.15,no_moroso
64,1314.51,0,,0,Tecnico,4079.95,no_moroso
46,7695.38,7,,1,Tecnico,19339.25,no_moroso
57,8618.13,3,48.3,1,Universitario,20099.78,moroso
54,11713.41,2,2.5,1,Universitario,28977.52,no_moroso
59,6432.93,3,9.3,0,Universitario,17694.22,no_moroso
43,13354.99,2,,1,Universitario,33742.91,no_moroso
49,,3,5.8,0,Posgrado,18248.16,no_moroso
49,3524.29,1,9.9,1,Secundaria,6600.74,no_moroso
23,7166.57,0,7.2,0,Universitario,19140.52,no_moroso
43,3992.19,2,6.2,0,Universitario,10576.7,no_moroso
25,14306.97,6,5.0,1,Universitario,36492.85,no_moroso
47,5813.95,7,4.5,0,Universitario,16843.58,no_moroso
19,14347.72,9,2.0,1,Tecnico,36706.95,no_moroso
37,1026.87,5,31.3,0,tecnico,2578.15,moroso
47,1545.44,8,0.8,1,Tecnico,3578.55,no_moroso
41,9524.64,7,1.3,1,Universitario,24426.71,no_moroso
51,6074.06,1,16.4,1,Universitario,14217.17,no_moroso
60,7100.83,9,11.9,1,Universitario,18919.73,no_moroso
64,6208.72,0,3.0,0,Secundaria,252369.54491861127,no_moroso
56,12368.8,1,,1,Posgrado,32490.53,no_moroso
43,13239.88,1,10.0,0,Universitario,34139.77,no_moroso
19,7109.3,8,12.1,0,Tecnico,18613.97,no_moroso
39,5176.88,7,0.7,0,Secundaria,14334.22,no_moroso
69,13514.4,8,1.8,1,Tecnico,33628.33,no_moroso
38,5954.05,6,,0,Posgrado,19178.26,no_moroso
50,3125.53,0,16.4,1,POSGRADO,9005.57,no_moroso
58,6850.55,3,0.9,1,Universitario,17132.83,no_moroso
55,9984.1,0,14.3,1,Tecnico,23109.47,no_moroso
47,9475.9,7,,0,Tecnico,24634.17,moroso
19,4748.01,2,23.1,1,Universitario,10985.28,no_moroso
42,4072.62,5,2.7,0,Tecnico,10939.88,no_moroso
39,8994.72,3,9.2,0,Universitario,24741.74,no_moroso
62,7210.51,6,31.3,1,Posgrado,19662.13,moroso
61,10127.5,6,2.3,0,Universitario,27664.6,no_moroso
62,13440.44,4,12.9,1,Universitario,34716.23,no_moroso
39,10176.3,3,,0,Universitario,25608.46,moroso
32,9071.38,0,39.6,0,Universitario,21641.68,moroso
24,12092.45,2,5.5,1,Tecnico,29891.73,no_moroso
55,9234.73,4,30.8,1,Posgrado,23405.22,moroso
19,11132.04,4,15.2,0,Universitario,29555.36,no_moroso
31,2053.46,1,9.7,1,universitario,4291.37,no_moroso
53,12944.8,6,3.8,0,Tecnico,34259.5,no_moroso
50,9157.14,3,21.5,0,Posgrado,24794.74,no_moroso
34,3185.7,6,7.3,1,Universitario,8606.25,no_moroso
67,5230.49,6,2.0,1,Tecnico,12937.87,no_moroso
22,10240.94,4,4.5,0,Universitario,27693.64,no_moroso
56,10702.47,0,27.3,0,Tecnico,25456.12,no_moroso
21,6192.39,0,,1,Tecnico,11593.91,moroso
29,9277.45,5,,1,Tecnico,22796.84,no_moroso
18,9051.3,7,1.9,0,Universitario,25704.31,no_moroso
56,,6,43.6,0,Posgrado,21491.46,moroso
35,4197.91,3,27.8,0,Universitario,11056.79,no_moroso
18,,5,6.6,1,Universitario,34346.58,no_moroso
27,12581.49,4,6.0,0,Universitario,33105.38,no_moroso
45,1862.95,6,,0,Universitario,7834.62,no_moroso
30,12749.03,1,5.3,1,Tecnico,30456.81,no_moroso
28,1018.95,3,4.5,0,Tecnico,3515.28,no_moroso
27,9815.6,3,7.4,0,Tecnico,25155.17,no_moroso
28,2139.87,6,13.3,1,Universitario,5675.21,no_moroso
45,11411.69,2,8.4,0,Posgrado,31800.52,no_moroso
28,14460.39,9,35.3,0,Tecnico,37121.67,moroso
50,12835.39,3,30.1,0,Tecnico,31498.17,moroso
54,7194.38,6,0.1,0,Universitario,21010.03,no_moroso
32,6379.98,4,3.3,1,Tecnico,15488.57,no_moroso
51,2645.05,9,30.3,0,Universitario,8319.05,moroso
21,6990.26,0,1.1,0,Tecnico,18442.66,no_moroso
32,4853.33,4,17.4,0,Secundaria,11733.6,no_moroso
34,3737.23,3,9.2,1,Tecnico,8526.24,no_moroso
34,,2,4.3,0,Posgrado,28499.01,no_moroso
57,813.1,2,17.3,0,Secundaria,939.42,no_moroso
49,14740.12,6,9.5,0,Tecnico,38594.0,no_moroso
32,7313.71,4,11.9,0,Universitario,19599.27,no_moroso
24,7869.44,3,7.0,1,Secundaria,18119.83,no_moroso
40,,7,5.8,1,Posgrado,34257.67,no_moroso
57,14549.6,1,21.7,0,Universitario,36732.46,no_moroso
33,14237.34,9,31.3,1,Universitario,36170.87,moroso
48,4600.94,4,9.6,0,Universitario,14157.87,no_moroso
36,7903.45,1,13.5,1,Universitario,18992.73,no_moroso
25,12348.39,4,0.2,1,Tecnico,30491.28,no_moroso
53,1352.85,2,1.0,1,Universitario,3939.73,no_moroso
35,10220.05,3,0.9,1,Tecnico,25281.48,no_moroso
49,12234.38,3,8.9,0,Universitario,31360.74,no_moroso
42,4318.52,6,3.2,1,Tecnico,10762.37,no_moroso
19,7452.22,1,10.1,0,universitario,19595.36,no_moroso
39,7066.67,3,8.8,0,Tecnico,17794.69,no_moroso
42,6083.32,4,28.6,1,Universitario,14890.73,no_moroso
69,2352.39,6,2.6,1,Tecnico,5667.29,no_moroso
64,12699.13,4,5.2,0,Posgrado,35410.12,no_moroso
30,6391.12,7,0.8,1,Universitario,18241.92,no_moroso
42,5638.87,8,12.3,0,Secundaria,14476.62,no_moroso
64,6343.98,0,10.7,1,Universitario,15676.08,no_moroso
57,13578.67,7,2.4,0,Tecnico,35908.94,no_moroso
64,5431.41,6,27.3,1,Universitario,13701.31,no_moroso
68,14828.1,1,41.2,0,secundaria,35053.65,moroso
56,5057.82,1,36.3,0,Secundaria,10620.93,moroso
28,7105.91,5,0.6,0,Secundaria,18368.39,no_moroso
66,9521.56,6,4.5,1,Universitario,24329.36,no_moroso
42,8325.33,0,55.3,1,Tecnico,16675.71,moroso
57,2076.26,8,,1,Posgrado,4559.84,moroso
18,5050.11,4,10.5,0,Tecnico,13434.38,no_moroso
62,7980.91,6,5.2,0,Universitario,22969.06,no_moroso
22,1950.41,0,7.0,0,Secundaria,4748.58,no_moroso
55,1403.16,2,20.8,0,Universitario,5069.65,no_moroso
20,12226.1,4,,0,Universitario,31229.52,no_moroso
26,,2,23.4,0,Tecnico,28781.92,no_moroso
51,10022.8,7,0.9,0,Tecnico,27123.6,no_moroso
46,10901.92,1,1.4,1,Universitario,27645.92,no_moroso
18,5330.39,9,8.1,0,Universitario,15667.27,no_moroso
24,2355.7,9,3.0,0,Secundaria,8222.97,no_moroso
22,7284.84,0,0.1,0,Universitario,19570.3,no_moroso
47,9132.11,0,43.7,0,Universitario,21945.16,moroso
46,6014.4,7,5.1,0,Tecnico,16686.22,no_moroso
42,11965.7,8,23.2,1,Tecnico,28915.43,no_moroso
20,6710.92,4,4.5,0,Universitario,18242.14,no_moroso
56,6153.69,9,,0,Universitario,18244.09,no_moroso
62,3119.77,5,24.9,1,Tecnico,6699.83,no_moroso
52,4169.59,6,57.5,1,Universitario,9143.98,moroso
33,7080.01,1,37.2,1,Tecnico,15257.67,moroso
59,9747.33,6,19.3,0,Universitario,26584.17,no_moroso
22,4958.23,7,3.2,0,Posgrado,17177.43,no_moroso
21,13402.99,4,11.3,1,Secundaria,31552.05,no_moroso
34,12852.28,4,11.8,1,Tecnico,31356.46,no_moroso
23,7875.15,2,39.1,1,Posgrado,18296.95,moroso
66,8646.16,2,50.2,1,Universitario,18929.95,moroso
21,1252.78,9,16.5,1,Universitario,3720.42,no_moroso
20,,8,39.3,0,Universitario,27410.66,moroso
19,2363.85,6,50.2,0,Tecnico,4672.48,moroso
59,11089.29,2,1.3,1,Tecnico,26919.02,no_moroso
58,12190.92,7,32.4,1,Universitario,29638.85,moroso
54,12269.0,9,11.3,0,Secundaria,31276.48,no_moroso
68,1830.79,9,27.8,0,Universitario,5714.06,no_moroso
53,,7,20.5,0,Universitario,36207.55,no_moroso
38,,9,35.1,1,Secundaria,1035.22,moroso
52,14887.0,0,1.5,1,Universitario,36988.04,no_moroso
65,6427.45,7,13.7,0,Secundaria,16880.4,no_moroso
56,13662.93,4,0.8,1,Universitario,34953.0,no_moroso
63,2679.54,3,37.4,0,Tecnico,5569.29,moroso
20,5805.49,0,50.7,1,Posgrado,13518.22,moroso
38,10345.39,6,15.8,0,Posgrado,28512.96,no_moroso
32,8090.59,6,23.8,1,Secundaria,18301.26,no_moroso
60,1007.4,3,7.7,0,Posgrado,5790.98,no_moroso
65,9156.67,8,9.9,0,Universitario,25217.14,no_moroso
64,14825.34,3,14.7,0,Tecnico,36918.15,no_moroso
30,12401.36,6,1.8,0,Posgrado,35620.26,no_moroso
60,6346.96,4,4.0,0,Posgrado,20378.48,no_moroso
49,9423.95,4,8.5,0,Secundaria,24032.04,no_moroso
23,3951.52,4,2.4,1,Posgrado,11951.89,no_moroso
40,6752.02,6,3.3,0,Secundaria,17879.09,no_moroso
56,14173.11,2,0.1,0,Tecnico,35947.91,no_moroso
24,,6,21.8,1,Tecnico,15022.92,no_moroso
58,7265.0,5,0.3,0,Posgrado,21580.05,no_moroso
22,9027.35,4,26.3,0,Universitario,23078.64,no_moroso
54,3687.15,1,24.5,1,Tecnico,8240.54,no_moroso
67,11655.33,5,2.5,1,Tecnico,28602.26,no_moroso
19,7333.94,6,20.8,1,Posgrado,20647.87,no_moroso
32,14349.45,1,16.9,0,Secundaria,35490.77,no_moroso
29,11091.29,0,14.9,0,secundaria,27184.09,no_moroso
30,13236.04,7,7.3,1,Posgrado,35241.1,no_moroso
50,6560.22,4,0.1,0,Secundaria,16890.85,no_moroso
68,9442.1,2,37.3,1,Secundaria,20575.11,moroso
55,10970.47,0,26.8,0,Tecnico,26417.45,no_moroso
21,4015.85,8,16.3,0,Posgrado,13677.77,no_moroso
25,2705.82,6,0.1,1,Tecnico,7048.15,no_moroso
21,12924.18,4,2.9,0,Universitario,34158.2,no_moroso
48,9308.05,0,,1,Posgrado,24783.37,no_moroso
19,9908.23,6,12.2,0,Tecnico,25505.17,no_moroso
68,,2,9.2,1,Universitario,32363.29,no_moroso
21,12709.08,9,12.1,1,Secundaria,31827.05,no_moroso
41,2390.0,8,,0,Universitario,8402.69,no_moroso
47,3481.36,1,3.7,1,Universitario,8173.44,no_moroso
58,14948.29,1,44.1,1,Universitario,35024.6,moroso
32,5316.77,9,4.8,1,Universitario,14935.18,no_moroso
50,7787.4,4,17.4,1,Universitario,19846.18,no_moroso
30,4451.27,2,3.4,1,Secundaria,10032.6,no_moroso
35,1163.57,4,10.9,0,UNIVERSITARIO,4247.81,no_moroso
45,7162.41,6,5.5,0,Secundaria,19176.99,no_moroso
62,10568.16,0,15.9,1,Tecnico,24493.05,no_moroso
