distrito,area_m2,habitaciones,banos,antiguedad_anos,estacionamiento,precio_alquiler,precio_categoria
San Juan de Lurigancho,166.3,3,2,39.0,1,2810.0,moderado
Pueblo Libre,89.3,4,1,,1,3360.0,premium
san isidro,150.5,1,1,0.0,1,6580.0,premium
Miraflores,105.8,3,1,16.0,0,5180.0,premium
san juan de lurigancho,,5,1,17.0,1,4360.0,premium
Miraflores,142.5,2,2,5.0,1,6200.0,premium
Carabayllo,192.7,5,3,5.0,0,4380.0,premium
Lince,196.9,4,2,33.0,1,4200.0,premium
San Miguel,121.1,2,2,26.0,1,3570.0,premium
Barranco,84.6,2,1,20.0,0,3630.0,premium
San Borja,59.5,1,1,35.0,0,3160.0,premium
Chorrillos,182.6,4,3,11.0,0,4430.0,premium
Miraflores,53.5,1,1,13.0,0,4430.0,premium
Surco,176.0,2,2,,1,5360.0,premium
San Miguel,62.8,5,1,14.0,1,3740.0,premium
Magdalena,71.0,1,1,21.0,1,2830.0,moderado
Pueblo Libre,159.5,4,2,27.0,1,4230.0,premium
San Miguel,167.3,2,1,27.0,0,3750.0,premium
Chorrillos,73.4,1,1,25.0,1,2190.0,moderado
magdalena,156.0,4,3,5.0,0,4990.0,premium
Barranco,92.5,4,3,,0,3870.0,premium
Miraflores,168.9,5,2,,1,7110.0,premium
San Isidro,,5,2,,0,6700.0,premium
Surco,125.1,2,2,34.0,1,4240.0,premium
Chorrillos,89.5,4,1,9.0,0,3310.0,premium
magdalena,110.1,4,2,15.0,1,4150.0,premium
Barranco,158.6,1,1,12.0,0,4860.0,premium
Ate,216.7,3,1,17.0,1,4070.0,premium
Carabayllo,138.6,2,1,,1,52544.0,moderado
Lince,,2,2,23.0,1,2310.0,moderado
LA MOLINA,208.7,4,2,25.0,1,6010.0,premium
San Miguel,84.6,4,1,6.0,1,4000.0,premium
Magdalena,172.8,1,1,25.0,0,3950.0,premium
Magdalena,151.1,2,2,16.0,1,4180.0,premium
San Isidro,201.5,4,2,10.0,0,7300.0,premium
Miraflores,184.4,4,3,18.0,0,6530.0,premium
Miraflores,177.8,5,3,12.0,0,6780.0,premium
Miraflores,100.5,5,3,23.0,1,5650.0,premium
Jesus Maria,180.9,2,1,6.0,1,4830.0,premium
Carabayllo,73.5,1,1,10.0,1,2080.0,moderado
Chorrillos,148.8,4,1,33.0,0,3360.0,premium
Chorrillos,130.1,2,2,0.0,1,3670.0,premium
Lince,93.6,3,2,34.0,0,2730.0,moderado
BARRANCO,138.0,3,2,,1,5360.0,premium
Magdalena,138.1,1,1,2.0,1,4310.0,premium
San Miguel,150.4,1,1,8.0,1,3940.0,premium
Carabayllo,48.1,1,1,23.0,0,910.0,economico
Miraflores,117.2,5,1,22.0,1,5740.0,premium
Miraflores,64.6,3,1,2.0,1,5270.0,premium
Barranco,74.6,3,1,15.0,0,3850.0,premium
Carabayllo,,2,1,30.0,1,1270.0,economico
San Juan de Lurigancho,75.5,2,1,25.0,1,1810.0,moderado
carabayllo,,5,3,,1,2230.0,moderado
Chorrillos,119.9,4,1,16.0,0,3290.0,premium
Ate,163.2,2,2,16.0,1,3500.0,premium
San Juan de Lurigancho,139.1,2,1,16.0,1,3110.0,premium
Lince,121.1,4,1,30.0,0,3190.0,premium
Pueblo Libre,,4,1,4.0,0,3740.0,premium
Surco,208.9,4,3,18.0,1,6240.0,premium
Surco,148.3,2,1,0.0,0,5480.0,premium
Jesus Maria,76.7,2,1,10.0,1,3740.0,premium
Ate,195.3,3,3,11.0,1,4620.0,premium
Pueblo Libre,157.6,2,2,10.0,0,4010.0,premium
Ate,114.1,4,3,29.0,1,3080.0,premium
San Borja,156.8,4,1,8.0,1,5680.0,premium
Pueblo Libre,103.7,4,2,14.0,0,3370.0,premium
Magdalena,203.6,5,2,38.0,1,4780.0,premium
San Borja,108.3,4,2,7.0,1,5420.0,premium
San Juan de Lurigancho,159.0,5,1,27.0,1,3480.0,premium
San Miguel,,4,2,24.0,1,4860.0,premium
Lince,206.0,2,2,14.0,1,4590.0,premium
La Molina,178.1,5,1,8.0,0,5940.0,premium
Ate,139.9,3,2,1.0,1,3860.0,premium
Pueblo Libre,66.5,4,3,8.0,1,3750.0,premium
Jesus Maria,126.8,3,2,2.0,0,4350.0,premium
Lince,55.8,1,1,9.0,0,2410.0,moderado
La Molina,61.6,5,1,18.0,1,4450.0,premium
Barranco,190.2,4,1,25.0,1,5600.0,premium
Miraflores,59.5,3,3,16.0,0,4920.0,premium
La Molina,155.7,5,2,35.0,1,5270.0,premium
Jesus Maria,142.3,5,3,17.0,0,4420.0,premium
Lince,43.4,1,1,38.0,1,1580.0,moderado
Pueblo Libre,127.2,5,3,29.0,1,3890.0,premium
Jesus Maria,206.7,4,3,12.0,1,5550.0,premium
Surco,108.0,1,1,18.0,1,4490.0,premium
Ate,,5,2,0.0,1,4130.0,premium
San Juan de Lurigancho,86.7,4,2,17.0,0,2100.0,moderado
Barranco,45.3,5,3,24.0,1,4300.0,premium
Miraflores,204.2,4,1,,0,6140.0,premium
Ate,61.0,5,1,39.0,1,1970.0,moderado
Surco,171.0,2,2,3.0,0,5590.0,premium
San Isidro,168.8,5,3,38.0,0,6380.0,premium
San Borja,97.4,4,1,0.0,1,5280.0,premium
Barranco,198.5,3,2,39.0,0,4590.0,premium
Lince,114.4,5,2,12.0,1,4150.0,premium
San Borja,105.7,4,1,,1,52778.0,premium
Magdalena,112.2,3,2,38.0,0,2980.0,moderado
La Molina,152.2,2,1,12.0,0,39841.0,premium
Pueblo Libre,129.4,3,2,4.0,1,4280.0,premium
Lince,,1,1,32.0,1,2160.0,moderado
Carabayllo,56.4,4,1,28.0,1,1680.0,moderado
Chorrillos,91.1,2,1,34.0,1,2410.0,moderado
Magdalena,163.6,3,1,,1,4900.0,premium
Jesus Maria,57.3,4,1,2.0,1,3680.0,premium
San Juan de Lurigancho,213.4,3,2,0.0,1,4770.0,premium
La Molina,188.6,4,1,30.0,0,5030.0,premium
Jesus Maria,110.7,3,1,35.0,0,3380.0,premium
San Borja,178.2,5,2,22.0,1,5710.0,premium
San Juan de Lurigancho,50.9,3,3,14.0,1,2200.0,moderado
San Borja,190.4,2,1,39.0,1,5190.0,premium
San Juan de Lurigancho,155.2,2,1,14.0,1,3110.0,premium
Pueblo Libre,,5,3,38.0,1,3780.0,premium
Magdalena,189.3,5,1,7.0,0,5350.0,premium
San Miguel,137.8,2,2,,1,3520.0,premium
Surco,140.4,5,3,6.0,1,6360.0,premium
Chorrillos,105.2,4,1,9.0,0,3280.0,premium
Lince,147.0,3,2,11.0,0,3670.0,premium
San Juan de Lurigancho,65.8,1,1,3.0,0,2270.0,moderado
San Miguel,214.5,2,1,29.0,1,4480.0,premium
Jesus Maria,,4,1,,1,4900.0,premium
Lince,121.2,4,2,3.0,1,4590.0,premium
Surco,92.8,2,1,23.0,1,4360.0,premium
Chorrillos,110.4,5,2,,1,3450.0,premium
Magdalena,97.9,2,2,27.0,1,3380.0,premium
Carabayllo,154.1,3,1,2.0,1,3860.0,premium
Jesus Maria,43.2,4,3,19.0,1,3440.0,premium
San Juan de Lurigancho,92.5,3,1,21.0,1,2310.0,moderado
La Molina,50.0,2,1,37.0,0,3000.0,moderado
San Borja,195.4,3,3,15.0,1,6020.0,premium
Carabayllo,212.7,3,3,19.0,1,3970.0,premium
San Borja,213.1,2,2,0.0,1,6270.0,premium
Lince,115.0,2,2,36.0,0,2460.0,moderado
San Borja,154.1,1,1,,0,4940.0,premium
San Isidro,218.7,2,2,19.0,1,7070.0,premium
Lince,107.9,3,2,33.0,0,2980.0,moderado
San Miguel,172.5,3,1,2.0,0,4750.0,premium
Ate,64.1,5,2,26.0,1,33425.0,moderado
Ate,162.7,2,1,19.0,1,3150.0,premium
La Molina,84.6,3,1,4.0,0,4530.0,premium
Surco,174.4,4,1,6.0,1,6050.0,premium
Miraflores,49.5,3,1,10.0,1,4880.0,premium
Miraflores,174.0,3,1,3.0,0,6330.0,premium
Miraflores,181.8,3,1,17.0,1,6280.0,premium
Lince,196.6,4,1,7.0,1,5000.0,premium
Ate,138.7,4,2,29.0,0,2890.0,moderado
Lince,52.8,5,1,3.0,1,3440.0,premium
Miraflores,103.4,4,3,17.0,1,5800.0,premium
san borja,141.5,3,3,,1,5740.0,premium
Barranco,149.7,3,1,39.0,0,4100.0,premium
Chorrillos,116.2,5,1,8.0,0,3600.0,premium
Ate,213.8,3,1,12.0,1,4310.0,premium
La Molina,209.4,1,1,17.0,1,5480.0,premium
Barranco,67.7,2,2,39.0,1,2910.0,moderado
Magdalena,170.4,5,2,37.0,0,4300.0,premium
Ate,105.6,3,3,23.0,1,2790.0,moderado
San Isidro,94.5,4,2,39.0,1,5240.0,premium
Miraflores,141.7,3,3,30.0,1,5950.0,premium
Jesus Maria,187.9,1,1,10.0,1,4610.0,premium
Magdalena,178.3,3,2,33.0,0,4190.0,premium
Magdalena,121.6,5,1,4.0,0,4820.0,premium
Pueblo Libre,187.8,5,3,,0,5380.0,premium
Lince,197.4,2,2,3.0,1,4760.0,premium
san miguel,64.9,3,3,33.0,1,2740.0,moderado
San Borja,205.9,2,2,25.0,0,5420.0,premium
Carabayllo,185.7,3,1,21.0,1,3390.0,premium
La Molina,,2,1,39.0,1,3840.0,premium
San Isidro,48.9,4,2,39.0,0,4310.0,premium
Ate,109.9,3,3,36.0,1,2670.0,moderado
Ate,154.8,2,1,2.0,1,3800.0,premium
Carabayllo,214.7,3,2,7.0,1,4350.0,premium
Jesus Maria,126.7,2,2,12.0,1,3980.0,premium
Lince,122.9,3,3,1.0,0,4150.0,premium
La Molina,197.8,5,1,5.0,1,6670.0,premium
San Miguel,212.0,5,3,21.0,1,5670.0,premium
Magdalena,161.3,5,3,36.0,0,4310.0,premium
Barranco,75.6,1,1,27.0,1,3270.0,premium
San Borja,52.7,2,2,14.0,1,4240.0,premium
Jesus Maria,88.0,3,1,38.0,0,2650.0,moderado
Chorrillos,70.9,5,1,31.0,1,2620.0,moderado
Carabayllo,197.4,4,2,,1,3890.0,premium
San Miguel,53.1,4,2,12.0,0,3360.0,premium
Magdalena,219.2,5,2,28.0,0,5200.0,premium
Lince,,4,3,20.0,0,3200.0,premium
Barranco,197.5,3,3,25.0,0,5300.0,premium
Ate,61.3,3,2,30.0,1,2260.0,moderado
Lince,191.8,2,2,35.0,1,3750.0,premium
Barranco,45.8,3,3,20.0,1,3740.0,premium
Barranco,88.7,2,2,13.0,1,4310.0,premium
San Isidro,152.1,5,1,4.0,0,7020.0,premium
Barranco,120.4,4,2,39.0,1,4200.0,premium
Miraflores,171.3,3,3,11.0,0,6450.0,premium
San Miguel,125.7,1,1,26.0,0,3130.0,premium
Magdalena,115.6,1,1,33.0,1,3150.0,premium
Lince,67.0,4,3,9.0,1,3460.0,premium
Ate,57.2,4,2,7.0,1,3230.0,premium
Pueblo Libre,119.2,4,3,28.0,1,3800.0,premium
San Miguel,41.7,2,1,14.0,0,2360.0,moderado
Miraflores,124.9,2,1,20.0,1,5130.0,premium
Barranco,55.9,1,1,14.0,1,3550.0,premium
San Juan de Lurigancho,100.1,4,3,16.0,1,3050.0,premium
San Borja,48.1,4,3,33.0,1,4160.0,premium
Chorrillos,214.4,3,3,19.0,0,4550.0,premium
San Miguel,84.5,4,3,14.0,1,3860.0,premium
La Molina,46.0,2,2,13.0,1,3770.0,premium
Jesus Maria,181.3,2,2,14.0,0,4460.0,premium
Ate,88.7,2,2,24.0,0,2130.0,moderado
Carabayllo,133.1,1,1,34.0,0,1890.0,moderado
MAGDALENA,174.3,3,3,35.0,1,4690.0,premium
Barranco,191.9,4,3,,0,5760.0,premium
Surco,69.3,4,3,26.0,1,4690.0,premium
Jesus Maria,152.7,4,2,6.0,1,4660.0,premium
Barranco,120.2,1,1,35.0,0,3590.0,premium
pueblo libre,,1,1,3.0,0,3850.0,premium
Pueblo Libre,183.7,2,2,,1,4240.0,premium
San Isidro,64.1,2,2,18.0,1,5590.0,premium
La Molina,57.0,1,1,32.0,1,3300.0,premium
San Miguel,124.5,3,3,25.0,0,3610.0,premium
San Miguel,97.4,3,3,6.0,1,3960.0,premium
MIRAFLORES,154.6,1,1,25.0,0,5040.0,premium
San Miguel,187.0,1,1,13.0,1,4470.0,premium
Pueblo Libre,213.7,5,2,10.0,1,5600.0,premium
Magdalena,58.1,5,3,38.0,0,2780.0,moderado
Carabayllo,,1,1,33.0,1,1030.0,economico
Miraflores,49.2,5,1,1.0,1,5620.0,premium
San Miguel,70.6,4,1,19.0,1,3130.0,premium
Barranco,105.1,2,2,3.0,0,4410.0,premium
San Isidro,153.0,4,3,17.0,0,6750.0,premium
La Molina,69.0,5,2,18.0,1,4800.0,premium
Jesus Maria,169.4,5,1,,1,4360.0,premium
Barranco,95.2,2,1,21.0,1,3860.0,premium
San Miguel,171.2,4,2,18.0,1,4630.0,premium
Carabayllo,131.8,4,1,9.0,1,3110.0,premium
Lince,121.9,3,3,10.0,1,4030.0,premium
Chorrillos,55.4,1,1,32.0,1,1830.0,moderado
San Borja,,1,1,38.0,0,3230.0,premium
San Miguel,192.8,3,1,34.0,1,4220.0,premium
Lince,209.8,5,1,18.0,1,5090.0,premium
San Miguel,164.8,2,1,,1,4000.0,premium
Magdalena,167.8,3,2,20.0,1,4560.0,premium
San Isidro,112.5,1,1,22.0,1,5310.0,premium
miraflores,75.3,1,1,38.0,0,3960.0,premium
Surco,,5,3,35.0,1,3970.0,premium
PUEBLO LIBRE,192.1,4,1,19.0,1,4720.0,premium
San Isidro,117.8,4,3,23.0,1,6180.0,premium
San Isidro,,1,1,36.0,1,3990.0,premium
Ate,96.8,2,1,9.0,1,2580.0,moderado
San Juan de Lurigancho,52.5,5,2,17.0,1,2560.0,moderado
JESUS MARIA,85.4,4,3,26.0,0,3680.0,premium
Pueblo Libre,189.2,5,2,33.0,0,4270.0,premium
Lince,132.2,1,1,13.0,1,3550.0,premium
Chorrillos,52.3,4,1,27.0,1,2500.0,moderado
Barranco,57.1,5,1,36.0,0,3220.0,premium
Surco,,5,2,1.0,1,46337.0,premium
Lince,182.6,1,1,31.0,0,3090.0,premium
Carabayllo,154.6,5,1,2.0,1,3970.0,premium
San Isidro,,3,1,39.0,1,4920.0,premium
San Borja,201.9,5,2,15.0,1,6600.0,premium
San Borja,152.3,4,3,2.0,1,6380.0,premium
Pueblo Libre,116.3,3,1,13.0,0,3710.0,premium
Lince,99.0,5,1,29.0,0,3010.0,premium
Pueblo Libre,91.2,2,2,30.0,1,3150.0,premium
La Molina,112.6,5,2,25.0,1,5010.0,premium
Magdalena,69.0,5,3,37.0,1,3640.0,premium
Barranco,186.6,5,2,,0,5900.0,premium
Ate,155.5,5,2,30.0,1,3470.0,premium
Barranco,147.9,5,2,30.0,1,5080.0,premium
Miraflores,216.5,1,1,1.0,0,6800.0,premium
San Miguel,,5,3,37.0,1,3270.0,premium
Pueblo Libre,98.9,2,1,32.0,1,2850.0,moderado
Lince,174.6,3,1,28.0,1,3890.0,premium
Miraflores,50.9,4,1,18.0,1,4900.0,premium
Ate,217.3,3,1,22.0,1,4120.0,premium
Barranco,65.9,2,2,15.0,0,3580.0,premium
Ate,69.3,5,1,33.0,1,2280.0,moderado
Miraflores,48.4,2,2,20.0,1,4520.0,premium
La Molina,145.3,3,3,,0,5060.0,premium
Jesus Maria,59.1,4,1,14.0,1,3470.0,premium
La Molina,135.6,1,1,39.0,1,3750.0,premium
Ate,144.9,2,2,,1,2540.0,moderado
Pueblo Libre,195.2,3,3,,1,4440.0,premium
Carabayllo,148.8,5,3,0.0,1,4270.0,premium
Surco,59.3,1,1,,1,4450.0,premium
Lince,98.7,1,1,26.0,0,2460.0,moderado
San Borja,66.8,5,1,21.0,1,4630.0,premium
Surco,205.7,4,1,38.0,1,5470.0,premium
La Molina,75.8,4,1,3.0,1,5180.0,premium
San Borja,178.7,1,1,38.0,1,4520.0,premium
Ate,68.2,5,1,31.0,1,2420.0,moderado
La Molina,136.8,3,2,16.0,1,5110.0,premium
Magdalena,157.6,2,2,,0,4010.0,premium
Magdalena,139.2,3,2,37.0,0,3570.0,premium
San Borja,198.8,3,2,18.0,0,5940.0,premium
Ate,114.6,2,2,,1,2500.0,moderado
La Molina,48.2,3,2,24.0,1,3950.0,premium
Lince,179.9,3,2,19.0,1,4400.0,premium
La Molina,162.7,2,1,39.0,1,4670.0,premium
Ate,93.6,2,1,16.0,1,2620.0,moderado
San Isidro,74.0,3,1,14.0,1,5450.0,premium
San Miguel,137.9,5,1,34.0,1,4230.0,premium
Ate,214.3,2,2,17.0,1,4150.0,premium
Miraflores,68.4,4,1,16.0,1,5510.0,premium
Magdalena,124.7,2,2,39.0,0,3190.0,premium
carabayllo,153.4,2,2,12.0,1,3150.0,premium
Miraflores,131.4,2,2,27.0,1,49404.0,premium
Carabayllo,183.7,3,1,,1,3140.0,premium
Lince,83.3,1,1,7.0,1,3070.0,premium
Magdalena,178.5,2,2,15.0,1,4390.0,premium
Pueblo Libre,57.4,4,2,31.0,1,2710.0,moderado
Magdalena,72.2,4,3,39.0,1,2970.0,moderado
Ate,211.0,1,1,12.0,1,4000.0,premium
Magdalena,,5,3,17.0,0,4550.0,premium
La Molina,111.5,1,1,,1,4400.0,premium
Surco,91.0,3,1,23.0,1,4470.0,premium
San Isidro,,2,2,10.0,1,5300.0,premium
Lince,168.3,3,2,0.0,1,4690.0,premium
Pueblo Libre,112.6,2,1,15.0,0,3540.0,premium
La Molina,50.7,3,2,30.0,1,3860.0,premium
Surco,189.8,2,1,8.0,1,6090.0,premium
Miraflores,81.6,3,1,34.0,0,33869.0,premium
Ate,165.8,3,2,18.0,1,3730.0,premium
Lince,150.9,4,1,9.0,0,4050.0,premium
Magdalena,169.6,4,2,36.0,1,4510.0,premium
Barranco,45.4,1,1,0.0,1,3680.0,premium
Lince,181.3,5,3,19.0,0,4510.0,premium
Ate,147.3,3,2,39.0,1,2750.0,moderado
Surco,49.0,1,1,23.0,0,3490.0,premium
Lince,199.0,4,1,32.0,1,4210.0,premium
Pueblo Libre,84.2,4,1,35.0,0,2870.0,moderado
La Molina,72.3,1,1,4.0,0,3940.0,premium
La Molina,61.6,1,1,7.0,1,3970.0,premium
Miraflores,166.3,1,1,20.0,1,5680.0,premium
Carabayllo,142.5,4,1,12.0,1,3390.0,premium
lince,158.1,2,1,33.0,1,3040.0,premium
Miraflores,208.0,2,2,24.0,1,6480.0,premium
San Juan de Lurigancho,197.8,3,2,11.0,1,4160.0,premium
Pueblo Libre,103.1,2,2,8.0,1,3630.0,premium
San Borja,68.5,5,2,22.0,1,4470.0,premium
Ate,130.7,2,1,28.0,0,2550.0,moderado
Miraflores,44.1,1,1,4.0,1,4850.0,premium
Jesus Maria,185.8,1,1,27.0,1,4140.0,premium
Jesus Maria,183.7,4,3,28.0,1,4940.0,premium
Carabayllo,113.8,3,3,32.0,1,2640.0,moderado
San Borja,90.8,3,2,,1,4940.0,premium
Pueblo Libre,199.6,1,1,39.0,0,3320.0,premium
Carabayllo,199.7,2,2,38.0,1,3230.0,premium
Lince,192.7,3,1,20.0,1,4160.0,premium
La Molina,,4,3,34.0,1,4170.0,premium
ATE,143.6,2,2,21.0,1,3130.0,premium
San Juan de Lurigancho,189.9,2,2,,1,3010.0,premium
Lince,64.2,3,2,1.0,1,3620.0,premium
Barranco,139.7,4,3,18.0,0,5230.0,premium
Carabayllo,157.7,5,3,13.0,1,3760.0,premium
La Molina,58.3,3,1,4.0,1,4660.0,premium
San Miguel,140.4,4,3,25.0,0,3860.0,premium
La Molina,46.2,3,3,38.0,0,3140.0,premium
Carabayllo,158.3,4,2,35.0,1,2930.0,moderado
Surco,136.3,4,3,18.0,0,5380.0,premium
La Molina,205.9,4,3,8.0,1,6420.0,premium
Barranco,83.3,3,1,13.0,1,4260.0,premium
San Juan de Lurigancho,214.5,2,2,12.0,1,3970.0,premium
San Miguel,142.5,4,1,0.0,1,4770.0,premium
San Borja,168.9,4,2,22.0,1,5750.0,premium
La Molina,146.2,1,1,13.0,1,4840.0,premium
Chorrillos,94.0,2,1,22.0,1,2480.0,moderado
Lince,,5,1,25.0,1,2940.0,moderado
Jesus Maria,,5,1,4.0,1,3910.0,premium
Ate,147.8,1,1,25.0,1,2790.0,moderado
Carabayllo,76.7,4,1,8.0,1,2500.0,moderado
San Juan de Lurigancho,,5,3,32.0,0,3860.0,premium
Carabayllo,218.7,5,3,5.0,1,4730.0,premium
Surco,177.4,2,1,39.0,1,4720.0,premium
Lince,140.5,5,3,29.0,1,3930.0,premium
Surco,65.6,4,3,11.0,1,4760.0,premium
San Isidro,62.8,2,2,31.0,1,4740.0,premium
surco,43.1,2,2,,1,4290.0,premium
Lince,50.6,1,1,17.0,1,2570.0,moderado
Surco,101.5,4,1,32.0,1,4590.0,premium
Chorrillos,198.4,1,1,0.0,1,4400.0,premium
Jesus Maria,106.3,1,1,24.0,1,3340.0,premium
Pueblo Libre,168.3,2,1,17.0,1,3960.0,premium
Carabayllo,,5,2,,0,2560.0,moderado
Surco,73.4,5,3,1.0,0,5040.0,premium
San Borja,129.6,2,2,12.0,1,5140.0,premium
San Juan de Lurigancho,219.1,2,2,37.0,0,3030.0,premium
Ate,40.0,5,1,,1,1850.0,moderado
Miraflores,189.6,5,2,33.0,0,6270.0,premium
Barranco,119.9,4,2,3.0,1,5380.0,premium
Ate,128.2,1,1,36.0,1,2350.0,moderado
San Miguel,199.1,1,1,5.0,0,4680.0,premium
Barranco,85.3,3,2,13.0,1,4600.0,premium
MAGDALENA,87.4,1,1,39.0,1,2530.0,moderado
Magdalena,101.9,3,2,23.0,1,3630.0,premium
Barranco,45.1,5,3,4.0,1,4720.0,premium
San Isidro,,2,2,4.0,1,6490.0,premium
Magdalena,197.0,3,3,33.0,1,4720.0,premium
San Isidro,144.1,2,2,25.0,0,5670.0,premium
San Isidro,,3,1,35.0,1,5790.0,premium
Lince,74.2,1,1,8.0,1,3090.0,premium
Carabayllo,164.2,3,3,,1,3250.0,premium
San Borja,72.9,4,2,13.0,1,4940.0,premium
Miraflores,155.4,1,1,28.0,1,5410.0,premium
San Isidro,91.4,5,2,2.0,1,6540.0,premium
Magdalena,192.3,5,3,20.0,0,5260.0,premium
La Molina,213.8,1,1,7.0,1,5930.0,premium
Magdalena,218.9,5,2,34.0,0,5110.0,premium
Pueblo Libre,89.5,3,3,6.0,1,3950.0,premium
Surco,136.6,2,2,23.0,1,5140.0,premium
Jesus Maria,136.3,4,2,39.0,1,4050.0,premium
Surco,90.8,2,2,28.0,0,4050.0,premium
ATE,196.2,2,2,18.0,1,3880.0,premium
Miraflores,84.7,1,1,,1,5380.0,premium
Surco,95.8,4,1,4.0,0,5120.0,premium
Surco,125.6,4,1,30.0,1,4940.0,premium
Carabayllo,92.5,1,1,39.0,1,1190.0,economico
San Juan de Lurigancho,212.0,3,2,12.0,1,4420.0,premium
Carabayllo,172.4,4,2,37.0,1,3110.0,premium
Jesus Maria,103.8,2,2,2.0,1,4190.0,premium
San Isidro,141.4,2,1,39.0,1,5360.0,premium
Carabayllo,84.6,4,3,,1,3330.0,premium
Magdalena,198.9,4,1,32.0,1,4700.0,premium
San Borja,,1,1,29.0,1,3940.0,premium
San Juan de Lurigancho,95.7,5,1,10.0,1,3000.0,moderado
Barranco,81.8,5,3,35.0,0,3930.0,premium
San Borja,110.7,1,1,16.0,0,4250.0,premium
SURCO,42.5,1,1,0.0,1,4300.0,premium
Miraflores,95.5,5,2,16.0,0,5670.0,premium
Chorrillos,163.9,1,1,22.0,1,3190.0,premium
La Molina,106.4,5,2,23.0,1,5100.0,premium
Jesus Maria,65.0,5,2,7.0,1,4040.0,premium
Jesus Maria,211.4,5,3,30.0,1,46080.0,premium
Ate,169.0,2,1,5.0,0,3750.0,premium
Barranco,109.9,2,2,16.0,0,4230.0,premium
Barranco,175.6,4,1,27.0,1,5670.0,premium
San Juan de Lurigancho,172.1,5,1,26.0,0,3450.0,premium
La Molina,152.6,2,2,28.0,0,4680.0,premium
Carabayllo,198.7,1,1,22.0,1,3480.0,premium
San Juan de Lurigancho,127.5,2,2,36.0,0,1920.0,moderado
San Miguel,113.4,4,1,15.0,1,3970.0,premium
Ate,132.0,2,2,32.0,1,2840.0,moderado
San Borja,171.1,2,2,22.0,1,5430.0,premium
Barranco,202.7,4,1,29.0,0,5000.0,premium
San Isidro,205.8,1,1,8.0,1,6900.0,premium
San Isidro,99.7,3,2,20.0,1,5770.0,premium
Surco,103.4,1,1,22.0,0,4230.0,premium
Ate,112.9,2,1,36.0,1,1960.0,moderado
Jesus Maria,124.3,3,2,18.0,1,4240.0,premium
Carabayllo,44.5,5,2,,1,2190.0,moderado
Jesus Maria,,4,2,7.0,0,5260.0,premium
Surco,95.7,5,3,9.0,1,5470.0,premium
Surco,116.4,5,3,3.0,1,5970.0,premium
Pueblo Libre,45.4,3,2,29.0,1,2560.0,moderado
Carabayllo,158.2,5,3,13.0,1,3810.0,premium
San Miguel,205.8,5,1,19.0,1,5200.0,premium
Ate,48.6,1,1,,0,1220.0,economico
Magdalena,112.8,4,3,35.0,1,3540.0,premium
Barranco,197.4,1,1,29.0,0,4520.0,premium
Miraflores,158.9,3,1,6.0,1,6270.0,premium
Chorrillos,,2,1,5.0,1,3100.0,premium
Chorrillos,47.8,5,1,,0,2090.0,moderado
Miraflores,215.7,5,3,12.0,0,7110.0,premium
San Isidro,149.2,5,2,,1,6690.0,premium
San Juan de Lurigancho,165.8,5,1,11.0,1,3870.0,premium
Surco,124.7,5,3,12.0,1,5680.0,premium
Barranco,119.0,1,1,26.0,1,3980.0,premium
Surco,,3,1,26.0,1,4820.0,premium
Pueblo Libre,85.4,5,2,17.0,1,3870.0,premium
San Isidro,81.2,3,3,30.0,1,5670.0,premium
San Borja,79.9,4,1,36.0,1,4030.0,premium
Barranco,85.0,4,1,9.0,1,4640.0,premium
Surco,83.3,1,1,39.0,0,3470.0,premium
La Molina,,3,3,5.0,0,5410.0,premium
Pueblo Libre,202.6,5,2,16.0,1,5130.0,premium
Surco,171.0,4,2,23.0,0,5860.0,premium
San Miguel,104.2,1,1,21.0,1,2910.0,moderado
Carabayllo,130.0,1,1,20.0,0,1990.0,moderado
San Isidro,,2,1,26.0,0,6130.0,premium
San Isidro,59.0,3,2,33.0,1,4900.0,premium
San Borja,179.5,3,3,21.0,0,5590.0,premium
San Isidro,167.7,1,1,1.0,0,6330.0,premium
Miraflores,118.8,2,2,39.0,1,4950.0,premium
Chorrillos,185.5,3,1,17.0,1,4170.0,premium
Lince,120.7,2,1,39.0,0,2510.0,moderado
San Juan de Lurigancho,190.9,5,3,2.0,0,4560.0,premium
Jesus Maria,110.0,5,3,33.0,1,4170.0,premium
Ate,179.3,3,1,34.0,1,3050.0,premium
Surco,,1,1,18.0,0,4090.0,premium
Carabayllo,196.8,4,1,5.0,1,4410.0,premium
San Juan de Lurigancho,216.5,3,1,31.0,0,3280.0,premium
San Isidro,188.6,2,2,16.0,1,7000.0,premium
Chorrillos,195.8,3,1,26.0,0,3650.0,premium
BARRANCO,,3,3,26.0,0,3750.0,premium
Carabayllo,162.9,2,1,1.0,1,3450.0,premium
Jesus Maria,162.6,1,1,39.0,1,3570.0,premium
Ate,,4,3,34.0,0,3740.0,premium
Lince,96.4,4,3,35.0,1,3190.0,premium
Chorrillos,181.7,4,2,16.0,0,4000.0,premium
Carabayllo,130.2,2,2,25.0,1,2970.0,moderado
Carabayllo,,5,3,24.0,0,3770.0,premium
Carabayllo,53.7,4,3,8.0,1,2530.0,moderado
San Isidro,55.7,2,2,23.0,1,5110.0,premium
San Borja,213.6,2,2,13.0,0,5670.0,premium
La Molina,133.7,1,1,,1,4810.0,premium
San Juan de Lurigancho,165.4,1,1,33.0,1,2590.0,moderado
